gene_id,UP
Acremonium_persicinum3_15288|g12.t1,0
Acremonium_persicinum3_15288|g13.t1,0
Acremonium_persicinum3_15288|g15.t1,0
Acremonium_persicinum3_15288|g18.t1,0
Acremonium_persicinum3_15288|g21.t1,0
Acremonium_persicinum3_15288|g22.t1,0
Acremonium_persicinum3_15288|g25.t1,0
Acremonium_persicinum3_15288|g29.t1,0
Acremonium_persicinum3_15288|g30.t1,0
Acremonium_persicinum3_15288|g31.t1,0
Acremonium_persicinum3_15288|g32.t1,0
Acremonium_persicinum3_15288|g39.t1,0
Acremonium_persicinum3_15288|g45.t1,0
Acremonium_persicinum3_15288|g46.t1,0
Acremonium_persicinum3_15288|g51.t1,0
Acremonium_persicinum3_15288|g53.t1,0
Acremonium_persicinum3_15288|g58.t1,0
Acremonium_persicinum3_15288|g67.t1,0
Acremonium_persicinum3_15288|g68.t1,0
Acremonium_persicinum3_15288|g69.t1,0
Acremonium_persicinum3_15288|g73.t1,0
Acremonium_persicinum3_15288|g74.t1,0
Acremonium_persicinum3_15288|g78.t1,0
Acremonium_persicinum3_15288|g79.t1,0
Acremonium_persicinum3_15288|g108.t1,0
Acremonium_persicinum3_15288|g109.t1,0
Acremonium_persicinum3_15288|g110.t1,0
Acremonium_persicinum3_15288|g112.t1,0
Acremonium_persicinum3_15288|g113.t1,0
Acremonium_persicinum3_15288|g118.t1,0
Acremonium_persicinum3_15288|g122.t1,0
Acremonium_persicinum3_15288|g123.t1,0
Acremonium_persicinum3_15288|g126.t1,0
Acremonium_persicinum3_15288|g127.t1,0
Acremonium_persicinum3_15288|g132.t1,0
Acremonium_persicinum3_15288|g136.t1,0
Acremonium_persicinum3_15288|g137.t1,0
Acremonium_persicinum3_15288|g138.t1,0
Acremonium_persicinum3_15288|g148.t1,0
Acremonium_persicinum3_15288|g149.t1,0
Acremonium_persicinum3_15288|g150.t1,0
Acremonium_persicinum3_15288|g155.t1,0
Acremonium_persicinum3_15288|g158.t1,0
Acremonium_persicinum3_15288|g159.t1,0
Acremonium_persicinum3_15288|g168.t1,0
Acremonium_persicinum3_15288|g171.t1,0
Acremonium_persicinum3_15288|g179.t1,0
Acremonium_persicinum3_15288|g183.t1,0
Acremonium_persicinum3_15288|g186.t1,0
Acremonium_persicinum3_15288|g187.t1,0
Acremonium_persicinum3_15288|g188.t1,0
Acremonium_persicinum3_15288|g189.t1,0
Acremonium_persicinum3_15288|g190.t1,0
Acremonium_persicinum3_15288|g194.t1,0
Acremonium_persicinum3_15288|g205.t1,0
Acremonium_persicinum3_15288|g206.t1,0
Acremonium_persicinum3_15288|g207.t1,0
Acremonium_persicinum3_15288|g210.t1,0
Acremonium_persicinum3_15288|g211.t1,0
Acremonium_persicinum3_15288|g214.t1,0
Acremonium_persicinum3_15288|g215.t1,0
Acremonium_persicinum3_15288|g221.t1,0
Acremonium_persicinum3_15288|g222.t1,0
Acremonium_persicinum3_15288|g226.t1,0
Acremonium_persicinum3_15288|g237.t1,0
Acremonium_persicinum3_15288|g250.t1,0
Acremonium_persicinum3_15288|g251.t1,0
Acremonium_persicinum3_15288|g252.t1,0
Acremonium_persicinum3_15288|g255.t1,0
Acremonium_persicinum3_15288|g258.t1,0
Acremonium_persicinum3_15288|g268.t1,0
Acremonium_persicinum3_15288|g269.t1,0
Acremonium_persicinum3_15288|g271.t1,0
Acremonium_persicinum3_15288|g272.t1,0
Acremonium_persicinum3_15288|g274.t1,0
Acremonium_persicinum3_15288|g275.t1,0
Acremonium_persicinum3_15288|g276.t1,0
Acremonium_persicinum3_15288|g282.t1,0
Acremonium_persicinum3_15288|g285.t1,0
Acremonium_persicinum3_15288|g287.t1,0
Acremonium_persicinum3_15288|g288.t1,0
Acremonium_persicinum3_15288|g293.t1,0
Acremonium_persicinum3_15288|g296.t1,0
Acremonium_persicinum3_15288|g297.t1,0
Acremonium_persicinum3_15288|g300.t1,0
Acremonium_persicinum3_15288|g301.t1,0
Acremonium_persicinum3_15288|g304.t1,0
Acremonium_persicinum3_15288|g307.t1,0
Acremonium_persicinum3_15288|g308.t1,0
Acremonium_persicinum3_15288|g322.t1,0
Acremonium_persicinum3_15288|g323.t1,0
Acremonium_persicinum3_15288|g324.t1,0
Acremonium_persicinum3_15288|g325.t1,0
Acremonium_persicinum3_15288|g331.t1,0
Acremonium_persicinum3_15288|g332.t1,0
Acremonium_persicinum3_15288|g333.t1,0
Acremonium_persicinum3_15288|g334.t1,0
Acremonium_persicinum3_15288|g335.t1,0
Acremonium_persicinum3_15288|g336.t1,0
Acremonium_persicinum3_15288|g346.t1,0
Acremonium_persicinum3_15288|g348.t1,0
Acremonium_persicinum3_15288|g349.t1,0
Acremonium_persicinum3_15288|g361.t1,0
Acremonium_persicinum3_15288|g365.t1,0
Acremonium_persicinum3_15288|g366.t1,0
Acremonium_persicinum3_15288|g367.t1,0
Acremonium_persicinum3_15288|g372.t1,0
Acremonium_persicinum3_15288|g373.t1,0
Acremonium_persicinum3_15288|g377.t1,0
Acremonium_persicinum3_15288|g378.t1,0
Acremonium_persicinum3_15288|g379.t1,0
Acremonium_persicinum3_15288|g381.t1,0
Acremonium_persicinum3_15288|g392.t1,0
Acremonium_persicinum3_15288|g393.t1,0
Acremonium_persicinum3_15288|g395.t1,0
Acremonium_persicinum3_15288|g399.t1,0
Acremonium_persicinum3_15288|g401.t1,0
Acremonium_persicinum3_15288|g402.t1,0
Acremonium_persicinum3_15288|g405.t1,0
Acremonium_persicinum3_15288|g407.t1,0
Acremonium_persicinum3_15288|g408.t1,1
Acremonium_persicinum3_15288|g417.t1,0
Acremonium_persicinum3_15288|g420.t1,0
Acremonium_persicinum3_15288|g421.t1,0
Acremonium_persicinum3_15288|g436.t1,0
Acremonium_persicinum3_15288|g447.t1,0
Acremonium_persicinum3_15288|g448.t1,0
Acremonium_persicinum3_15288|g451.t1,0
Acremonium_persicinum3_15288|g453.t1,0
Acremonium_persicinum3_15288|g454.t1,0
Acremonium_persicinum3_15288|g455.t1,0
Acremonium_persicinum3_15288|g457.t1,0
Acremonium_persicinum3_15288|g464.t1,0
Acremonium_persicinum3_15288|g465.t1,0
Acremonium_persicinum3_15288|g466.t1,0
Acremonium_persicinum3_15288|g469.t1,0
Acremonium_persicinum3_15288|g477.t1,0
Acremonium_persicinum3_15288|g478.t1,0
Acremonium_persicinum3_15288|g481.t1,0
Acremonium_persicinum3_15288|g483.t1,0
Acremonium_persicinum3_15288|g493.t1,0
Acremonium_persicinum3_15288|g498.t1,0
Acremonium_persicinum3_15288|g499.t1,0
Acremonium_persicinum3_15288|g500.t1,0
Acremonium_persicinum3_15288|g528.t1,0
Acremonium_persicinum3_15288|g533.t1,0
Acremonium_persicinum3_15288|g534.t1,0
Acremonium_persicinum3_15288|g535.t1,0
Acremonium_persicinum3_15288|g538.t1,0
Acremonium_persicinum3_15288|g542.t1,0
Acremonium_persicinum3_15288|g544.t1,0
Acremonium_persicinum3_15288|g545.t1,0
Acremonium_persicinum3_15288|g550.t1,0
Acremonium_persicinum3_15288|g557.t1,0
Acremonium_persicinum3_15288|g559.t1,0
Acremonium_persicinum3_15288|g560.t1,1
Acremonium_persicinum3_15288|g561.t1,0
Acremonium_persicinum3_15288|g562.t1,0
Acremonium_persicinum3_15288|g563.t1,0
Acremonium_persicinum3_15288|g566.t1,0
Acremonium_persicinum3_15288|g567.t1,0
Acremonium_persicinum3_15288|g568.t1,0
Acremonium_persicinum3_15288|g569.t1,0
Acremonium_persicinum3_15288|g570.t1,0
Acremonium_persicinum3_15288|g574.t1,0
Acremonium_persicinum3_15288|g575.t1,0
Acremonium_persicinum3_15288|g576.t1,0
Acremonium_persicinum3_15288|g577.t1,0
Acremonium_persicinum3_15288|g580.t1,0
Acremonium_persicinum3_15288|g582.t1,0
Acremonium_persicinum3_15288|g583.t1,0
Acremonium_persicinum3_15288|g586.t1,0
Acremonium_persicinum3_15288|g588.t1,0
Acremonium_persicinum3_15288|g592.t1,0
Acremonium_persicinum3_15288|g593.t1,0
Acremonium_persicinum3_15288|g596.t1,0
Acremonium_persicinum3_15288|g603.t1,0
Acremonium_persicinum3_15288|g604.t1,0
Acremonium_persicinum3_15288|g606.t1,0
Acremonium_persicinum3_15288|g608.t1,0
Acremonium_persicinum3_15288|g609.t1,0
Acremonium_persicinum3_15288|g612.t1,0
Acremonium_persicinum3_15288|g619.t1,0
Acremonium_persicinum3_15288|g620.t1,0
Acremonium_persicinum3_15288|g621.t1,0
Acremonium_persicinum3_15288|g631.t1,0
Acremonium_persicinum3_15288|g633.t1,0
Acremonium_persicinum3_15288|g634.t1,0
Acremonium_persicinum3_15288|g638.t1,0
Acremonium_persicinum3_15288|g639.t1,0
Acremonium_persicinum3_15288|g641.t1,0
Acremonium_persicinum3_15288|g643.t1,0
Acremonium_persicinum3_15288|g644.t1,0
Acremonium_persicinum3_15288|g645.t1,1
Acremonium_persicinum3_15288|g646.t1,0
Acremonium_persicinum3_15288|g650.t1,0
Acremonium_persicinum3_15288|g654.t1,0
Acremonium_persicinum3_15288|g663.t1,0
Acremonium_persicinum3_15288|g669.t1,0
