,Group,Group1,ID,Treat,TP,Compartment
DCLX003A,s8PRE,Pre_flowering_drought-8-Soil,TP08S5,Pre_flowering_drought,8,Soil
DCLX003B,s8PRE,Pre_flowering_drought-8-Soil,TP08S6,Pre_flowering_drought,8,Soil
DCLX003C,s8CON,Control-8-Soil,TP08S11,Control,8,Soil
DCLX003D,z3PRE,Pre_flowering_drought-3-Rhizosphere,TP03Z5,Pre_flowering_drought,3,Rhizosphere
DCLX003E,z3PRE,Pre_flowering_drought-3-Rhizosphere,TP03Z6,Pre_flowering_drought,3,Rhizosphere
DCLX003F,z3CON,Control-3-Rhizosphere,TP03Z11,Control,3,Rhizosphere
DCLX003G,z3CON,Control-3-Rhizosphere,TP03Z12,Control,3,Rhizosphere
DCLX004A,s8CON,Control-8-Soil,TP08S12,Control,8,Soil
DCLX004B,s9PRE,Pre_flowering_drought-9-Soil,TP09S5,Pre_flowering_drought,9,Soil
DCLX004C,s9PRE,Pre_flowering_drought-9-Soil,TP09S6,Pre_flowering_drought,9,Soil
DCLX004D,z8PRE,Pre_flowering_drought-8-Rhizosphere,TP08Z5,Pre_flowering_drought,8,Rhizosphere
DCLX004E,z8PRE,Pre_flowering_drought-8-Rhizosphere,TP08Z6,Pre_flowering_drought,8,Rhizosphere
DCLX005A,z8CON,Control-8-Rhizosphere,TP08Z11,Control,8,Rhizosphere
DCLX005B,z8CON,Control-8-Rhizosphere,TP08Z12,Control,8,Rhizosphere
DCLX005C,s9CON,Control-9-Soil,TP09S11,Control,9,Soil
DCLX005D,s9CON,Control-9-Soil,TP09S12,Control,9,Soil
DCLX005E,s10PRE,Pre_flowering_drought-10-Soil,TP10S5,Pre_flowering_drought,10,Soil
DCLX006A,z9PRE,Pre_flowering_drought-9-Rhizosphere,TP09Z6,Pre_flowering_drought,9,Rhizosphere
DCLX006B,z9CON,Control-9-Rhizosphere,TP09Z11,Control,9,Rhizosphere
DCLX006C,z9CON,Control-9-Rhizosphere,TP09Z12,Control,9,Rhizosphere
DCLX006D,z9PRE,Pre_flowering_drought-9-Rhizosphere,TP09Z5,Pre_flowering_drought,9,Rhizosphere
DCLX007A,s10PRE,Pre_flowering_drought-10-Soil,TP10S6,Pre_flowering_drought,10,Soil
DCLX007B,s10CON,Control-10-Soil,TP10S11,Control,10,Soil
DCLX007C,s10CON,Control-10-Soil,TP10S12,Control,10,Soil
DCLX007D,z10PRE,Pre_flowering_drought-10-Rhizosphere,TP10Z5,Pre_flowering_drought,10,Rhizosphere
DCLX007E,z4PRE,Pre_flowering_drought-4-Rhizosphere,TP04Z5,Pre_flowering_drought,4,Rhizosphere
DCLX008A,s10POS,Post_flowering_drought-10-Soil,TP10S21,Post_flowering_drought,10,Soil
DCLX008B,s10POS,Post_flowering_drought-10-Soil,TP10S22,Post_flowering_drought,10,Soil
DCLX008C,s4PRE,Pre_flowering_drought-4-Soil,TP04S5,Pre_flowering_drought,4,Soil
DCLX008D,z4PRE,Pre_flowering_drought-4-Rhizosphere,TP04Z6,Pre_flowering_drought,4,Rhizosphere
DCLX008E,z4CON,Control-4-Rhizosphere,TP04Z11,Control,4,Rhizosphere
DCLX009A,s4PRE,Pre_flowering_drought-4-Soil,TP04S6,Pre_flowering_drought,4,Soil
DCLX009B,s4CON,Control-4-Soil,TP04S11,Control,4,Soil
DCLX009C,s4CON,Control-4-Soil,TP04S12,Control,4,Soil
DCLX009D,z4CON,Control-4-Rhizosphere,TP04Z12,Control,4,Rhizosphere
DCLX009E,z10PRE,Pre_flowering_drought-10-Rhizosphere,TP10Z6,Pre_flowering_drought,10,Rhizosphere
DCLX010A,z10CON,Control-10-Rhizosphere,TP10Z11,Control,10,Rhizosphere
DCLX010B,z10CON,Control-10-Rhizosphere,TP10Z12,Control,10,Rhizosphere
DCLX010C,z10POS,Post_flowering_drought-10-Rhizosphere,TP10Z21,Post_flowering_drought,10,Rhizosphere
DCLX010D,z10POS,Post_flowering_drought-10-Rhizosphere,TP10Z22,Post_flowering_drought,10,Rhizosphere
DCLX011A,s11CON,Control-11-Soil,TP11S11,Control,11,Soil
DCLX011B,s11CON,Control-11-Soil,TP11S12,Control,11,Soil
DCLX011C,z11POS,Post_flowering_drought-11-Rhizosphere,TP11Z21a,Post_flowering_drought,11,Rhizosphere
DCLX011D,z11POS,Post_flowering_drought-11-Rhizosphere,TP11Z22,Post_flowering_drought,11,Rhizosphere
DCLX012A,s11POS,Post_flowering_drought-11-Soil,TP11S21,Post_flowering_drought,11,Soil
DCLX012B,s11POS,Post_flowering_drought-11-Soil,TP11S22,Post_flowering_drought,11,Soil
DCLX012C,z11CON,Control-11-Rhizosphere,TP11Z11,Control,11,Rhizosphere
DCLX012D,z11CON,Control-11-Rhizosphere,TP11Z12,Control,11,Rhizosphere
