,Type,DCLX009B,DCLX009C,DCLX003C,DCLX004A,DCLX005C,DCLX005D,DCLX007B,DCLX007C,DCLX011A,DCLX011B,DCLX008C,DCLX009A,DCLX003A,DCLX003B,DCLX004B,DCLX004C,DCLX005E,DCLX007A,DCLX008A,DCLX008B,DCLX012A,DCLX012B,DCLX003F,DCLX003G,DCLX008E,DCLX009D,DCLX005A,DCLX005B,DCLX006B,DCLX006C,DCLX010A,DCLX010B,DCLX012C,DCLX012D,DCLX003D,DCLX003E,DCLX007E,DCLX008D,DCLX004D,DCLX004E,DCLX006A,DCLX006D,DCLX007D,DCLX009E,DCLX010C,DCLX010D,DCLX011C,DCLX011D
Acremonium_persicinumA3_2858|g1807.t1,Arylpolyene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059591467,0,0,0,0,0,0,0.026226905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074938926
Acremonium_persicinum3_15288|g6872.t1,Indole,0,0,0,0,0,0,0,0,0,0,0.189534119,0,0,0,0,0,0.072352184,0,0,0,0,0,0,0,1.624848219,0.099930561,0,0,0,0.155184238,0.208826527,0.126914079,0,0,0.302614283,0.187086053,2.505031112,0.260786992,29.57340855,6.04103608,0.122911213,2.176017908,4.495598675,0.104359406,0.120537772,0,0.106732446,0
Acremonium_persicinum3_15288|g7244.t1,Indole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.448279612,6.280272703,4.14493646,0.938567994,0,0.237459071,0,0,0,0,0,0.042287877,0,2.733344395,5.446240234,0.272151563,11.57330925,4.474013847,1.667476665,0.090833775,0.82791314,0,0,0.151370544,0.222767262,0.241660849
Acremonium_persicinum_MAG|g6586.t1,NRPS,0,0,0,0.023979124,0,0,0,0,0,0,0,0,0,0,0,0,0.029428108,0,0,0,0,0,2.154184335,0.744962648,1.542056489,1.910323335,0.018724434,0.431898143,0,0.042079159,0,0.206481189,0,0.016481687,0.246167161,0.532660082,5.349129681,0.159106486,7.868654797,2.853401832,0.699890728,0.566438988,0.358532111,0.08489308,0,0,0.130235211,0.188374487
Acremonium_persicinum_MAG|g5747.t1,NRPS,0,0,0,0,0.006571091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798163159,0.630906868,0.696513869,0.277099448,0,0.109732014,0,0.006236427,0.012588245,0.015300982,0,0,0.474288151,0.360886715,1.107373319,0.188645599,3.164311617,1.339165006,0.148183895,0.08395024,0.042509584,0.037745254,0,0.017487429,0.051471397,0.041877635
Acremonium_persicinum_MAG|g5700.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559727673,1.106089743,0.534235736,0.422437953,0,0.032063225,0,0,0,0,0,0,0.639622942,0.316348668,2.470896281,0.165364313,8.021867209,1.894707517,0.051958441,0.073589704,0.111790068,0,0,0,0.090238333,0.195783456
Acremonium_persicinum_MAG|g5839.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064225207,0.132944783,0.073586701,0,0.037235085,0,0,0,0,0,0,0,0.229610198,0.204961186,0.032006316,0.877137938,0.239166031,0.030169719,0,0,0,0,0,0.026198488,0.028420463
Acremonium_persicinum_MAG|g5220.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031045786,0.060738457,0,0,0,0,0,1.482050559,2.745667113,1.288253482,1.635855901,0.038646496,0.541219751,0,0,0,0,0.041972355,0,0.381059498,0.863805991,3.767753207,0.164194762,9.930554164,3.599022209,0.722273458,0.146138472,0.813995781,0.131411982,0.050594729,0.12176671,0.134400175,0.145799073
Acremonium_persicinum_MAG|g5064.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.233507767,2.925857334,2.297278343,2.851408452,0.017751187,0.467941942,0,0.039891993,0,0.048937208,0.077115311,0,0.466744063,0.216417341,8.129852032,0.351951937,12.30606755,6.086451195,1.279630724,0.570559272,1.189637901,0.080480559,0,0,0.205776539,0.40181236
Acremonium_persicinum_MAG|g4865.t1,NRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05354943,0,0,0,0,0,0,0,0,0
