,Barcode,libraryName,Block,Week,Replicate,Genotype,Condition,Sample.type,Day,Genotype.Sample.type,CompleteTreatment,CorTreatment,Row,isFloweringWeek,Date.Harvested,Collected.By,Collection.Time,No.plants.pooled,Notes,FloweringJulianDate,FloweringDate,FloweringWeek,FloweringDay,FloweringJulianDate.1,LbsGrainHarvestPerPlot,TonsOfGrain.ac,PctGrainMoisture,TonsOfGrain.acAt13PctMoisture,X1000SeedWt_g,ApproximateEndOfSeasonStandCount_aveOfGrainRows,TotalFreshForageWtPerPlot_kg,TotalFreshForageWtPerPlot_lbs,TonsOfForage.ac,PctMoistureForage,TonsOfForage.acAt65PctMoisture,ApproximateEndOfSeasonStandCount_aveOfForageRows,DryBiomass,FreshBiomass,AveHeight,BarcodeJGI,isCorrectedBarcode,SampleId,rawReads,filteredReads,sampleName,conditionNumber,sequencerType,runType,fileUsed,processed_as,totalFragments,mappedFragments,assignedFragments,unassignedAmbiguous,unassignedNoFeatures,unassignedSecondaryHits,ratioStrandedness,MappedRatio,AssignedRatio,Plate1,Location,Plate,Mislabeled,Unreplicated,badSamples,questionableSamples,CompleteSampleTreatment,Week2D
0622162R05,T0622162R05,BOCAY,Block 05,3,3,RT430,Preflowering,Roots,Day21,RT430:Roots,RT430:03:Preflowering:Roots,RT430_03_Preflowering_5, Row2,FALSE,6/22/16,Raney,11:15 AM,15,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,NA,NA,24.5,0622162R05,FALSE,131656,18826919,18611093,0622162R05,42,HiSeq-2500 1TB,1x101,11193.5.195680.CTGACAC-TGTGTCA.filter-RNA.fastq.gz,RT430,18611093,17825127,17191387,60653,573087,0,0.9812,0.95776895,0.923717215,16-Dec-12_RA_1,G1,G,FALSE,FALSE,FALSE,FALSE,RT430:03:Preflowering,3
0622162R13,T0622162R13,BOCGZ,Block 13,3,2,RT430,Preflowering,Roots,Day21,RT430:Roots,RT430:03:Preflowering:Roots,RT430_03_Preflowering_13, Row2,FALSE,6/22/16,XXX,12:35 PM,15,Does anybody can fill collected person?,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,NA,NA,23.1,0622162R13,FALSE,131679,19563719,19502206,0622162R13,42,HiSeq-2500 1TB,1x101,11193.2.195651.GCCATAA-GTTATGG.filter-RNA.fastq.gz,RT430,19502206,18806171,18045494,70363,690314,0,0.9804,0.964309935,0.925305271,16-Dec-12_RA_1,G1,G,FALSE,FALSE,FALSE,FALSE,RT430:03:Preflowering,3
0622162R18,T0622162R18,BOPGW,Block 18,3,1,RT430,Preflowering,Roots,Day21,RT430:Roots,RT430:03:Preflowering:Roots,RT430_03_Preflowering_18, Row2,FALSE,6/22/16,XXX,11:30 AM,15,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,NA,NA,21.3,0622162R18,FALSE,131750,21999737,21797064,0622162R18,42,HiSeq-2500 1TB,1x101,11228.3.196763.CACTGAC-TGTCAGT.filter-RNA.fastq.gz,RT430,21797064,21032988,20175220,77352,780416,0,0.9795,0.964945921,0.925593465,16-Dec-20_RA_1,F2,F,FALSE,FALSE,FALSE,FALSE,RT430:03:Preflowering,3
0629164R05,T0629164R05,BOCBO,Block 05,4,3,RT430,Preflowering,Roots,Day28,RT430:Roots,RT430:04:Preflowering:Roots,RT430_04_Preflowering_5,Row4,FALSE,6/29/16,Mala,10:32 AM,15,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,17.2,93.49,30.6,0629164R05,FALSE,131660,11550196,11407794,0629164R05,43,HiSeq-2500 1TB,1x101,11198.1.195842.ACAGCAA-GTTGCTG.filter-RNA.fastq.gz,RT430,32601084,31365883,30249874,131698,984311,0,0.9823,0.962111659,0.927879392,16-Dec-12_RA_1,H2,H,FALSE,FALSE,FALSE,FALSE,RT430:04:Preflowering,4
0629164R13,T0629164R13,BOCHP,Block 13,4,2,RT430,Preflowering,Roots,Day28,RT430:Roots,RT430:04:Preflowering:Roots,RT430_04_Preflowering_13,Row4,FALSE,6/29/16,Mala,11:23 AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,16.5,91.54,30.3,0629164R13,FALSE,131683,25309295,25021280,0629164R13,43,HiSeq-2500 1TB,1x101,11250.4.197787.CATACCA-GTGGTAT.filter-RNA.fastq.gz,RT430,39550615,38166251,36571107,170380,1424764,0,0.9804,0.964997662,0.92466595,16-Dec-12_RA_1,H2,H,FALSE,FALSE,FALSE,FALSE,RT430:04:Preflowering,4
0629164R18,T0629164R18,BOPHH,Block 18,4,1,RT430,Preflowering,Roots,Day28,RT430:Roots,RT430:04:Preflowering:Roots,RT430_04_Preflowering_18,Row4,FALSE,6/29/16,Dan/Heidi/Hannah,11:50 AM,15,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,13,69.15,28.4,0629164R18,FALSE,131754,21324741,21288999,0629164R18,43,HiSeq-2500 1TB,1x101,11228.3.196763.AAGAGCC-TGGCTCT.filter-RNA.fastq.gz,RT430,21288999,20537555,19728959,77607,730989,0,0.9805,0.964702709,0.926720838,16-Dec-20_RA_1,F3,F,FALSE,FALSE,FALSE,FALSE,RT430:04:Preflowering,4
0706165R13,T0706165R13,BZNNT,Block 13,5,2,RT430,Preflowering,Roots,Day35,RT430:Roots,RT430:05:Preflowering:Roots,RT430_05_Preflowering_13,Row5,FALSE,2007/6/16,Jess,10:58AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,NA,NA,37.8,0706165R13,FALSE,155863,28694849,28640048,0706165R13,44,HiSeq-2500 1TB,1x101,11887.7.224842.CCAGTGT-AACACTG.filter-RNA.fastq.gz,RT430,28640048,27460603,26305163,117287,1038153,0,0.9817,0.95881833,0.918474822,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,RT430:05:Preflowering,5
0706165R18,T0706165R18,BZNNU,Block 18,5,1,RT430,Preflowering,Roots,Day35,RT430:Roots,RT430:05:Preflowering:Roots,RT430_05_Preflowering_18,Row5,FALSE,2007/6/16,Ashwin,11:41AM,10,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,NA,NA,43,0706165R18,FALSE,155864,31495320,31250170,0706165R18,44,HiSeq-2500 1TB,1x101,11887.7.224842.TGTACAC-GGTGTAC.filter-RNA.fastq.gz,RT430,31250170,29962808,28741344,130065,1091399,0,0.9823,0.95880464,0.919718005,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,RT430:05:Preflowering,5
0706165R05,T0706165R05,BOCBZ,Block 05,5,3,RT430,Preflowering,Roots,Day35,RT430:Roots,RT430:05:Preflowering:Roots,RT430_05_Preflowering_5,Row5,FALSE,2007/6/16,Jess,10:20AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,NA,NA,43.2,0706165R05,FALSE,131664,18570206,18492114,0706165R05,44,HiSeq-2500 1TB,1x101,11193.3.195661.AGTCTCA-GTGAGAC.filter-RNA.fastq.gz,RT430,18492114,17781833,17043540,74710,663583,0,0.982,0.961590059,0.921665311,16-Dec-12_RA_1,H3,H,FALSE,FALSE,FALSE,FALSE,RT430:05:Preflowering,5
0713166R13,T0713166R13,BOCNA,Block 13,6,2,RT430,Preflowering,Roots,Day42,RT430:Roots,RT430:06:Preflowering:Roots,RT430_06_Preflowering_13,Row6,FALSE,7/13/16,Julie P/Mala/Jessie,11:11 AM,10,,228,2016/8/15,11,80,228,19.75,1.72062,22.16,1.539460469,31.75,90,61.7,135.8,11.8295892,66.7,11.26627543,92,80,372.4,56.4,0713166R13,FALSE,131687,14849102,14828861,0713166R13,45,HiSeq-2500 1TB,1x101,11198.1.195842.TATTCGC-GGCGAAT.filter-RNA.fastq.gz,RT430,38500854,36967489,35387509,167538,1412442,0,0.9802,0.960173221,0.91913569,16-Dec-12_RA_1,H3,H,FALSE,FALSE,FALSE,FALSE,RT430:06:Preflowering,6
0713166R05,T0713166R05,BOCCP,Block 05,6,3,RT430,Preflowering,Roots,Day42,RT430:Roots,RT430:06:Preflowering:Roots,RT430_06_Preflowering_5,Row6,FALSE,7/13/16,Julie P/Mala,10:26 AM,10,,230,2016/8/17,11,82,230,14.08,1.2266496,27.67,1.019811098,30.13,109.5,64.1,141.1,12.2935032,67.2,11.52515925,98,76.7,351.6,52.2,0713166R05,FALSE,131668,16623496,16381714,0713166R05,45,HiSeq-2500 1TB,1x101,11198.3.195860.CAATCGA-GTCGATT.filter-RNA.fastq.gz,RT430,42924353,41134290,39353272,186901,1594117,0,0.9806,0.958297263,0.916805246,16-Dec-12_RA_1,H4,H,FALSE,FALSE,FALSE,FALSE,RT430:06:Preflowering,6
0713166R18,T0713166R18,BOPHX,Block 18,6,1,RT430,Preflowering,Roots,Day42,RT430:Roots,RT430:06:Preflowering:Roots,RT430_06_Preflowering_18,Row6,FALSE,7/13/16,Julie P/Mala/Jessie,11:40 AM,10,,228,2016/8/15,11,80,228,17.29,1.5063048,34.31,1.137346693,30.84,81,62.1,136.7,11.9058192,66.2,11.4985779,103,49.3,232.7,45.6,0713166R18,FALSE,131758,18759811,18572655,0713166R18,45,HiSeq-2500 1TB,1x101,11238.4.197183.CACCTTA-GTAAGGT.filter-RNA.fastq.gz,RT430,18572655,17756289,16953021,75098,728170,0,0.98,0.956044734,0.912794697,16-Dec-20_RA_1,F4,F,FALSE,FALSE,FALSE,FALSE,RT430:06:Preflowering,6
