,Week,Compartment,Treat,Treatment,Plottime,Sampletime,Compartmentyear,Group,Groupyear,Groupyear1
TP1Z20,1,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-1,Rhizosphere2016-Control-1,Rhizosphere_Y16P1-Control-1
TP1Z2,1,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-1,Rhizosphere2016-Control-1,Rhizosphere_Y16P1-Control-1
TP1Z19,1,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-1,Rhizosphere2016-Control-1,Rhizosphere_Y16P1-Control-1
TP1Z12,1,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-1,Rhizosphere2016-Control-1,Rhizosphere_Y16P1-Control-1
TP1Z11,1,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-1,Rhizosphere2016-Control-1,Rhizosphere_Y16P1-Control-1
TP1Z1,1,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-1,Rhizosphere2016-Control-1,Rhizosphere_Y16P1-Control-1
TP2Z20,2,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-2,Rhizosphere2016-Control-2,Rhizosphere_Y16P1-Control-2
TP2Z2,2,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-2,Rhizosphere2016-Control-2,Rhizosphere_Y16P1-Control-2
TP2Z19,2,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-2,Rhizosphere2016-Control-2,Rhizosphere_Y16P1-Control-2
TP2Z12,2,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-2,Rhizosphere2016-Control-2,Rhizosphere_Y16P1-Control-2
TP2Z11,2,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-2,Rhizosphere2016-Control-2,Rhizosphere_Y16P1-Control-2
TP2Z1,2,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-2,Rhizosphere2016-Control-2,Rhizosphere_Y16P1-Control-2
TP3Z20,3,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-3,Rhizosphere2016-Control-3,Rhizosphere_Y16P1-Control-3
TP3Z2,3,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-3,Rhizosphere2016-Control-3,Rhizosphere_Y16P1-Control-3
TP3Z19,3,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-3,Rhizosphere2016-Control-3,Rhizosphere_Y16P1-Control-3
TP3Z12,3,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-3,Rhizosphere2016-Control-3,Rhizosphere_Y16P1-Control-3
TP3Z11,3,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-3,Rhizosphere2016-Control-3,Rhizosphere_Y16P1-Control-3
TP3Z1,3,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-3,Rhizosphere2016-Control-3,Rhizosphere_Y16P1-Control-3
TP4Z20,4,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-4,Rhizosphere2016-Control-4,Rhizosphere_Y16P1-Control-4
TP4Z2,4,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-4,Rhizosphere2016-Control-4,Rhizosphere_Y16P1-Control-4
TP4Z19,4,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-4,Rhizosphere2016-Control-4,Rhizosphere_Y16P1-Control-4
TP4Z12,4,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-4,Rhizosphere2016-Control-4,Rhizosphere_Y16P1-Control-4
TP4Z11,4,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-4,Rhizosphere2016-Control-4,Rhizosphere_Y16P1-Control-4
TP4Z1,4,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-4,Rhizosphere2016-Control-4,Rhizosphere_Y16P1-Control-4
TP5Z20,5,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-5,Rhizosphere2016-Control-5,Rhizosphere_Y16P1-Control-5
TP5Z2,5,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-5,Rhizosphere2016-Control-5,Rhizosphere_Y16P1-Control-5
TP5Z19,5,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-5,Rhizosphere2016-Control-5,Rhizosphere_Y16P1-Control-5
TP5Z12,5,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-5,Rhizosphere2016-Control-5,Rhizosphere_Y16P1-Control-5
TP5Z11,5,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-5,Rhizosphere2016-Control-5,Rhizosphere_Y16P1-Control-5
TP5Z1,5,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-5,Rhizosphere2016-Control-5,Rhizosphere_Y16P1-Control-5
TP6Z20,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP6Z2,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP6Z19,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP6Z12,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP6Z11,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP6Z1,6,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-6,Rhizosphere2016-Control-6,Rhizosphere_Y16P1-Control-6
TP7Z20,7,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-7,Rhizosphere2016-Control-7,Rhizosphere_Y16P1-Control-7
TP7Z2,7,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-7,Rhizosphere2016-Control-7,Rhizosphere_Y16P1-Control-7
TP7Z19,7,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-7,Rhizosphere2016-Control-7,Rhizosphere_Y16P1-Control-7
