Type,Treat,Goup,Compartment,Week
DCLX009B,CON,A01-CON-4-Soil,Soil,4
DCLX009C,CON,A01-CON-4-Soil,Soil,4
DCLX003C,CON,A02-CON-8-Soil,Soil,8
DCLX004A,CON,A02-CON-8-Soil,Soil,8
DCLX005C,CON,A03-CON-9-Soil,Soil,9
DCLX005D,CON,A03-CON-9-Soil,Soil,9
DCLX007B,CON,A04-CON-10-Soil,Soil,10
DCLX007C,CON,A04-CON-10-Soil,Soil,10
DCLX011A,CON,A05-CON-11-Soil,Soil,11
DCLX011B,CON,A05-CON-11-Soil,Soil,11
DCLX008C,PRE,A06-PRE-4-Soil,Soil,4
DCLX009A,PRE,A06-PRE-4-Soil,Soil,4
DCLX003A,PRE,A07-PRE-8-Soil,Soil,8
DCLX003B,PRE,A07-PRE-8-Soil,Soil,8
DCLX004B,PRE,A08-PRE-9-Soil,Soil,9
DCLX004C,PRE,A08-PRE-9-Soil,Soil,9
DCLX005E,PRE,A09-PRE-10-Soil,Soil,10
DCLX007A,PRE,A09-PRE-10-Soil,Soil,10
DCLX008A,POS,A10-POS-10-Soil,Soil,10
DCLX008B,POS,A10-POS-10-Soil,Soil,10
DCLX012A,POS,A11-POS-11-Soil,Soil,11
DCLX012B,POS,A11-POS-11-Soil,Soil,11
DCLX003F,CON,A12-CON-3-Rhizosphere,Rhizosphere,3
DCLX003G,CON,A12-CON-3-Rhizosphere,Rhizosphere,3
DCLX008E,CON,A13-CON-4-Rhizosphere,Rhizosphere,4
DCLX009D,CON,A13-CON-4-Rhizosphere,Rhizosphere,4
DCLX005A,CON,A14-CON-8-Rhizosphere,Rhizosphere,8
DCLX005B,CON,A14-CON-8-Rhizosphere,Rhizosphere,8
DCLX006B,CON,A15-CON-9-Rhizosphere,Rhizosphere,9
DCLX006C,CON,A15-CON-9-Rhizosphere,Rhizosphere,9
DCLX010A,CON,A16-CON-10-Rhizosphere,Rhizosphere,10
DCLX010B,CON,A16-CON-10-Rhizosphere,Rhizosphere,10
DCLX012C,CON,A17-CON-11-Rhizosphere,Rhizosphere,11
DCLX012D,CON,A17-CON-11-Rhizosphere,Rhizosphere,11
DCLX003D,PRE,A18-PRE-3-Rhizosphere,Rhizosphere,3
DCLX003E,PRE,A18-PRE-3-Rhizosphere,Rhizosphere,3
DCLX007E,PRE,A19-PRE-4-Rhizosphere,Rhizosphere,4
DCLX008D,PRE,A19-PRE-4-Rhizosphere,Rhizosphere,4
DCLX004D,PRE,A20-PRE-8-Rhizosphere,Rhizosphere,8
DCLX004E,PRE,A20-PRE-8-Rhizosphere,Rhizosphere,8
DCLX006A,PRE,A21-PRE-9-Rhizosphere,Rhizosphere,9
DCLX006D,PRE,A21-PRE-9-Rhizosphere,Rhizosphere,9
DCLX007D,PRE,A22-PRE-10-Rhizosphere,Rhizosphere,10
DCLX009E,PRE,A22-PRE-10-Rhizosphere,Rhizosphere,10
DCLX010C,POS,A23-POS-10-Rhizosphere,Rhizosphere,10
DCLX010D,POS,A23-POS-10-Rhizosphere,Rhizosphere,10
DCLX011C,POS,A24-POS-11-Rhizosphere,Rhizosphere,11
DCLX011D,POS,A24-POS-11-Rhizosphere,Rhizosphere,11
