,Pathogen_content,Total_SC_express,Sid1,Indole,L.tryptophan,NRPS,NRPS_all,PKS,NRPS_Like,T1PKS,T3PKS,terpene,arylpolyene,RiPP-like
DCLX009B,0.51215706,0.274553494,0,0,0,0.106932671,0.165165387,0,0.058232716,0,0,0.109388107,0,0
DCLX009C,0.368093738,0.307878423,0,0,0,0.089050433,0.208414255,0.099464168,0.119363822,0.099464168,0,0,0,0
DCLX003C,0.379132405,0.07539267,0,0,0,0.07539267,0.07539267,0,0,0,0,0,0,0
DCLX004A,0.39071646,0.189118309,0,0,0,0.189118309,0.189118309,0,0,0,0,0,0,0
DCLX005C,0.463353831,0.006571091,0,0,0,0.006571091,0.006571091,0,0,0,0,0,0,0
DCLX005D,0.317238312,0.109461349,0,0,0,0.109461349,0.109461349,0,0,0,0,0,0,0
DCLX007B,0.298399801,0.02593299,0,0,0,0.02593299,0.02593299,0,0,0,0,0,0,0
DCLX007C,0.296362128,0.353009748,0,0,0,0.312530902,0.312530902,0.040478846,0,0.040478846,0,0,0,0
DCLX011A,0.351487524,0.104598448,0,0,0,0.067160983,0.067160983,0,0,0,0,0,0,0.037437465
DCLX011B,0.256336655,0.538985244,0,0,0,0.518139656,0.518139656,0.020845588,0,0.020845588,0,0,0,0
DCLX008C,0.325516099,0.878070979,0,0.189534119,0,0.317224585,0.366167845,0.322369015,0.04894326,0.322369016,0,0,0,0
DCLX009A,0.393143195,0.16179789,0,0,0,0.107543201,0.107543201,0.054254689,0,0.054254689,0,0,0,0
DCLX003A,0.325599332,0.078328809,0,0,0,0.078328809,0.078328809,0,0,0,0,0,0,0
DCLX003B,0.382275184,0.616050406,0,0,0,0,0,0,0,0,0,0.616050406,0,0
DCLX004B,0.369493577,0.549628405,0,0,0,0.13375946,0.282065742,0,0.148306282,0,0,0.267562663,0,0
DCLX004C,0.268948566,0.440381684,0,0,0,0.355587861,0.355587861,0.039499568,0,0.039499568,0,0,0,0.045294255
DCLX005E,0.425747636,0.647896374,0,0.072352184,0,0.28353952,0.359364653,0.065102001,0.075825134,0.065102002,0,0.151077536,0,0
DCLX007A,0.349944424,0.150991262,0,0,0,0.1080334,0.1080334,0,0,0,0,0,0,0.042957862
DCLX008A,0.393530311,0.150016392,0,0,0,0.150016392,0.150016392,0,0,0,0,0,0,0
DCLX008B,0.365877437,0.075803775,0,0,0,0.075803775,0.075803775,0,0,0,0,0,0,0
DCLX012A,0.351322373,0,0,0,0,0,0,0,0,0,0,0,0,0
DCLX012B,0.415346924,0.199839175,0,0,0,0.146784424,0.146784424,0,0,0,0,0.053054751,0,0
