seq_ID,seq_start,seq_end
MT3_1,1,3388
MT3_2,1,5222
MT3_3,1,8239
MT3_4,1,6184
MT3_5,1,3899
MT3_6,1,4358
MT3_7,1,5446
MT3_8,1,4965
MT3_9,1,3612
MT3_10,1,4477
MT3_11,1,6771
MT3_12,1,9287
MT3_13,1,4310
MT3_14,1,5043
MT3_15,1,3241
MT3_16,1,4147
MT3_17,1,3808
MT3_18,1,15237
MT3_19,1,4055
MT3_20,1,3878
MT3_21,1,6718
MT3_22,1,10655
MT3_23,1,6095
MT3_24,1,6071
MT3_25,1,4058
MT3_26,1,4519
MT3_27,1,5186
MT3_28,1,6009
MT3_29,1,7041
MT3_30,1,3772
MT3_31,1,7622
MT3_32,1,3197
MT3_33,1,3872
MT3_34,1,3451
MT3_35,1,3521
MT3_36,1,4498
MT3_37,1,4663
MT3_38,1,4558
MT3_39,1,3933
MT3_40,1,3574
MT3_41,1,19907
MT3_42,1,4319
MT3_43,1,6826
MT3_44,1,3809
MT3_45,1,3990
MT3_46,1,3326
MT3_47,1,4521
MT3_48,1,3543
MT3_49,1,4411
MT3_50,1,5480
MT3_51,1,6822
MT3_52,1,10652
MT3_53,1,12499
MT3_54,1,5198
MT3_55,1,11087
MT3_56,1,4195
MT3_57,1,8327
MT3_58,1,8841
MT3_59,1,9261
MT3_60,1,5474
MT3_61,1,5981
MT3_62,1,5832
MT3_63,1,7136
MT3_64,1,5610
MT3_65,1,8385
MT3_66,1,4463
MT3_67,1,5927
MT3_68,1,3948
MT3_69,1,5621
MT3_70,1,3310
MT3_71,1,4285
MT3_72,1,3299
MT3_73,1,3264
MT3_74,1,3550
MT3_75,1,5723
MT3_76,1,4695
MT3_77,1,4944
MT3_78,1,3247
MT3_79,1,10689
MT3_80,1,3982
MT3_81,1,10406
MT3_82,1,4695
MT3_83,1,4428
MT3_84,1,9997
MT3_85,1,5910
MT3_86,1,4589
MT3_87,1,7033
MT3_88,1,9476
MT3_89,1,3411
MT3_90,1,9303
MT3_91,1,5067
MT3_92,1,9899
MT3_93,1,6018
MT3_94,1,6165
MT3_95,1,6498
MT3_96,1,3945
MT3_97,1,6951
MT3_98,1,4364
MT3_99,1,5465
MT3_100,1,3995
MT3_101,1,5675
MT3_102,1,3968
MT3_103,1,7976
MT3_104,1,7083
MT3_105,1,3306
MT3_106,1,5434
MT3_107,1,12470
MT3_108,1,6066
MT3_109,1,8512
MT3_110,1,6071
MT3_111,1,3319
MT3_112,1,4476
MT3_113,1,4430
MT3_114,1,3143
MT3_115,1,4766
MT3_116,1,3246
MT3_117,1,3761
MT3_118,1,3074
MT3_119,1,6128
MT3_120,1,8517
MT3_121,1,3130
MT3_122,1,3103
MT3_123,1,5736
MT3_124,1,7096
