,Metagenome_count,Metatrans_count,Pangenome,A. persicinum_MAG,A. persicinum3.15288,A. persicinum3.1556,A. persicinum3.1579,A. persicinum3.2854,A. persicinum3.3503,A. persicinum3.2857,A. persicinum3.2858,A. persicinum3.2859,A. persicinum3.2862
C11,147,2048,1,1,1,1,1,1,1,1,1,1,1
C12,154,2199,1,1,1,1,1,1,1,1,1,1,1
C25,116,6,1,1,1,1,1,1,1,1,1,1,1
C26,93,187,1,1,1,1,1,1,1,1,1,1,1
C27,157,823.896,1,1,1,1,1,1,1,1,1,1,1
C29,148,138,1,1,1,1,1,1,1,1,1,1,1
C31,58,21,1,1,1,1,1,1,1,1,1,1,1
C35,87,24,1,1,1,1,1,1,1,1,1,1,1
C36,101,555,1,1,1,1,1,1,1,1,1,1,1
C38,84,383,1,1,1,1,1,1,1,1,1,1,1
C39,63.5,685.532,1,1,1,1,1,1,1,1,1,1,1
C40,174,13,1,1,1,1,1,1,1,1,1,1,1
C41,91,314,1,1,1,1,1,1,1,1,1,1,1
C43,125,61,1,1,1,1,1,1,1,1,1,1,1
C47,85,52,1,1,1,1,1,1,1,1,1,1,1
C50,292,1307,1,1,1,1,1,1,1,1,1,1,1
C51,34,46,1,1,1,1,1,1,1,1,1,1,1
C52,127,349,1,1,1,1,1,1,1,1,1,1,1
C54,139,416,1,1,1,1,1,1,1,1,1,1,1
C57,48,1,1,1,1,1,1,1,1,1,1,1,1
C58,127,25,1,1,1,1,1,1,1,1,1,1,1
C62,68,73,1,1,1,1,1,1,1,1,1,1,1
C70,53,763,1,1,1,1,1,1,1,1,1,1,1
C72,118,70,1,1,1,1,1,1,1,1,1,1,1
C74,174,310,1,1,1,1,1,1,1,1,1,1,1
C79,78,34,1,1,1,1,1,1,1,1,1,1,1
C80,32,142,1,1,1,1,1,1,1,1,1,1,1
C82,62,18.483,1,1,1,1,1,1,1,1,1,1,1
C87,44,12,1,1,1,1,1,1,1,1,1,1,1
C89,267,642,1,1,1,1,1,1,1,1,1,1,1
C91,40,24,1,1,1,1,1,1,1,1,1,1,1
C96,63,34,1,1,1,1,1,1,1,1,1,1,1
C99,38,37,1,1,1,1,1,1,1,1,1,1,1
C100,101,180,1,1,1,1,1,1,1,1,1,1,1
C101,200.62,688.966,1,1,1,1,1,1,1,1,1,1,1
C105,43,8,1,1,1,1,1,1,1,1,1,1,1
C107,78.325,38.824,1,1,1,1,1,1,1,1,1,1,1
C109,132,307,1,1,1,1,1,1,1,1,1,1,1
C111,119,54,1,1,1,1,1,1,1,1,1,1,1
C112,151,78,1,1,1,1,1,1,1,1,1,1,1
C113,82,22,1,1,1,1,1,1,1,1,1,1,1
C118,111,290,1,1,1,1,1,1,1,1,1,1,1
C119,31,29,1,1,1,1,1,1,1,1,1,1,1
C120,61,1,1,1,1,1,1,1,1,1,1,1,1
C121,64,3,1,1,1,1,1,1,1,1,1,1,1
C122,170,126,1,1,1,1,1,1,1,1,1,1,1
C125,24.913,130.92,1,1,1,1,1,1,1,1,1,1,1
C130,339,17,1,1,1,1,1,1,1,1,1,1,1
C131,274,2061.995,1,1,1,1,1,1,1,1,1,1,1
C132,151.618,101,1,1,1,1,1,1,1,1,1,1,1
C133,80,14,1,1,1,1,1,1,1,1,1,1,1
C135,155,35,1,1,1,1,1,1,1,1,1,1,1
C137,51,62,1,1,1,1,1,1,1,1,1,1,1
C139,258,301,1,1,1,1,1,1,1,1,1,1,1
C142,13,1,1,1,1,1,1,1,1,1,1,1,1
C143,133.772,255.863,1,1,1,1,1,1,1,1,1,1,1
C144,16,65,1,1,1,1,1,1,1,1,1,1,1
C146,126,361,1,1,1,1,1,1,1,1,1,1,1
C147,149,215,1,1,1,1,1,1,1,1,1,1,1
C148,115,198,1,1,1,1,1,1,1,1,1,1,1
C153,159,76,1,1,1,1,1,1,1,1,1,1,1
C154,194,225,1,1,1,1,1,1,1,1,1,1,1
C156,135,245,1,1,1,1,1,1,1,1,1,1,1
C157,51,35,1,1,1,1,1,1,1,1,1,1,1
C160,72,3,1,1,1,1,1,1,1,1,1,1,1
