,MT_Maping_rate,MT_total_reads,MT_map_reads,MG_Maping_rate,MG_total_reads,MG_map_reads,Group1,ID,ALL_group,Treat,TP,OTU5
DCLX003G,0.0199925,2799894,55977,0.00330114,14628904,48292,CON_R,TP03Z12,RT430_03_Control_12,Control,3,0.082735729
DCLX003F,0.0181833,1659879,30182,0.00401062,16399439,65772,CON_B,TP03Z11,BT642_03_Control_11,Control,3,0.167512176
DCLX003E,0.0142769,3915849,55906,0.00298076,16659829,49659,PRE_B,TP03Z6,BT642_03_Preflowering_6,Pre_flowering_drought,3,0.141851196
DCLX003D,0.00643726,2420906,15584,0.00214022,20357275,43569,PRE_R,TP03Z5,RT430_03_Preflowering_5,Pre_flowering_drought,3,0.066223123
DCLX009D,0.0137322,7331098,100672,0.00369292,11170831,41253,CON_R,TP04Z12,RT430_04_Control_12,Control,4,0.138345711
DCLX008E,0.01813,4057860,73569,0.00325284,11435225,37197,CON_B,TP04Z11,BT642_04_Control_11,Control,4,0.218917286
DCLX008D,0.00678772,5618384,38136,0.00717699,5482801,39350,PRE_B,TP04Z6,BT642_04_Preflowering_6,Pre_flowering_drought,4,0.497210741
DCLX007E,0.0463777,3509421,162759,0.00677786,5829425,39511,PRE_R,TP04Z5,RT430_04_Preflowering_5,Pre_flowering_drought,4,0.406187373
DCLX005B,0.00757193,9658835,73136,0.00497312,15586585,77514,CON_R,TP08Z12,RT430_08_Control_12,Control,8,0.090246065
DCLX005A,0.00374264,15913633,59559,0.00264848,12348970,32706,CON_B,TP08Z11,BT642_08_Control_11,Control,8,0.101390565
DCLX004E,0.0473989,3759392,178191,0.0112839,14463279,163202,PRE_B,TP08Z6,BT642_08_Preflowering_6,Pre_flowering_drought,8,0.620695834
DCLX004D,0.0917289,5945347,545360,0.013348,14326066,191224,PRE_R,TP08Z5,RT430_08_Preflowering_5,Pre_flowering_drought,8,0.618275511
DCLX006C,0.00267805,14162535,37928,0.00201475,17826526,35916,CON_R,TP09Z12,RT430_09_Control_12,Control,9,0.075057516
DCLX006B,0.00171077,9305152,15919,0.00214076,12692230,27171,CON_B,TP09Z11,BT642_09_Control_11,Control,9,0.071504206
DCLX006D,0.00507713,8416759,42733,0.00332237,26568986,88272,PRE_R,TP09Z5,RT430_09_Preflowering_5,Pre_flowering_drought,9,0.232571858
DCLX006A,0.00875746,5960406,52198,0.00370745,23611913,87540,PRE_B,TP09Z6,BT642_09_Preflowering_6,Pre_flowering_drought,9,0.323515961
DCLX010B,0.00267826,5772415,15460,0.00348675,14256272,49708,CON_R,TP10Z12,RT430_10_Control_12,Control,10,0.095443394
DCLX010A,0.00230077,7016357,16143,0.00328832,10457622,34388,CON_B,TP10Z11,BT642_10_Control_11,Control,10,0.184966561
DCLX010D,0.00368742,5050692,18624,0.00346239,10326686,35755,POS_R,TP10Z22,RT430_10_Postflowering_22,Post_flowering_drought,10,0.167304831
DCLX010C,0.00368227,6077769,22380,0.00306097,11418605,34952,POS_B,TP10Z21,BT642_10_Postflowering_21,Post_flowering_drought,10,0.229146423
DCLX009E,0.00310386,7019978,21789,0.00557985,11240083,62718,PRE_B,TP10Z6,BT642_10_Preflowering_6,Pre_flowering_drought,10,0.458441455
DCLX007D,0.00759938,8310937,63158,0.00441025,9272711,40895,PRE_R,TP10Z5,RT430_10_Preflowering_5,Pre_flowering_drought,10,0.351530585
DCLX012D,0.00598642,18079082,108229,0.00277444,11144574,30920,CON_R,TP11Z12,RT430_11_Control_12,Control,11,0.091118499
DCLX012C,0.00267924,7326324,19629,0.00325168,12710669,41331,CON_B,TP11Z11,BT642_11_Control_11,Control,11,0.193414956
DCLX011D,0.00641604,6327264,40596,0.00480154,10472681,50285,POS_R,TP11Z22,RT430_11_Postflowering_22,Post_flowering_drought,11,0.14035227
DCLX011C,0.00584813,6863899,40141,0.00378229,10645918,40266,POS_B,TP11Z21,BT642_11_Postflowering_21,Post_flowering_drought,11,0.17328205
