#OTUID,Treatment,Week,Habitat,Content,Group,Batch3,Batch2
1,Control,1,Rhizosphere,0.003729449,OTU5,Y16-P1,Y2016
2,Control,1,Rhizosphere,0.002128543,OTU5,Y16-P1,Y2016
3,Control,1,Rhizosphere,0.003001347,OTU5,Y16-P1,Y2016
4,Control,1,Rhizosphere,0.001624658,OTU5,Y16-P1,Y2016
5,Control,1,Rhizosphere,0.004604927,OTU5,Y16-P1,Y2016
6,Control,1,Rhizosphere,0.005234665,OTU5,Y16-P1,Y2016
7,Control,2,Rhizosphere,0.009098914,OTU5,Y16-P1,Y2016
8,Control,2,Rhizosphere,0.00936659,OTU5,Y16-P1,Y2016
9,Control,2,Rhizosphere,0.00626521,OTU5,Y16-P1,Y2016
10,Control,2,Rhizosphere,0.017079661,OTU5,Y16-P1,Y2016
11,Control,2,Rhizosphere,0.01269304,OTU5,Y16-P1,Y2016
12,Control,2,Rhizosphere,0.009632496,OTU5,Y16-P1,Y2016
13,Control,3,Rhizosphere,0.062619906,OTU5,Y16-P1,Y2016
14,Control,3,Rhizosphere,0.099941125,OTU5,Y16-P1,Y2016
15,Control,3,Rhizosphere,0.115576798,OTU5,Y16-P1,Y2016
16,Control,3,Rhizosphere,0.14369877,OTU5,Y16-P1,Y2016
17,Control,3,Rhizosphere,0.287018606,OTU5,Y16-P1,Y2016
18,Control,3,Rhizosphere,0.041888512,OTU5,Y16-P1,Y2016
19,Control,4,Rhizosphere,0.110389184,OTU5,Y16-P1,Y2016
20,Control,4,Rhizosphere,0.204209674,OTU5,Y16-P1,Y2016
21,Control,4,Rhizosphere,0.22830422,OTU5,Y16-P1,Y2016
22,Control,4,Rhizosphere,0.043271768,OTU5,Y16-P1,Y2016
23,Control,4,Rhizosphere,0.224237965,OTU5,Y16-P1,Y2016
24,Control,4,Rhizosphere,0.261376181,OTU5,Y16-P1,Y2016
25,Control,5,Rhizosphere,0.035578413,OTU5,Y16-P1,Y2016
26,Control,5,Rhizosphere,0.12657614,OTU5,Y16-P1,Y2016
27,Control,5,Rhizosphere,0.186256166,OTU5,Y16-P1,Y2016
28,Control,5,Rhizosphere,0.147551359,OTU5,Y16-P1,Y2016
29,Control,5,Rhizosphere,0.134549871,OTU5,Y16-P1,Y2016
30,Control,5,Rhizosphere,0.087885701,OTU5,Y16-P1,Y2016
31,Control,6,Rhizosphere,0.031267729,OTU5,Y16-P1,Y2016
32,Control,6,Rhizosphere,0.072152718,OTU5,Y16-P1,Y2016
33,Control,6,Rhizosphere,0.091372475,OTU5,Y16-P1,Y2016
34,Control,6,Rhizosphere,0.027785223,OTU5,Y16-P1,Y2016
35,Control,6,Rhizosphere,0.013332171,OTU5,Y16-P1,Y2016
36,Control,6,Rhizosphere,0.088476374,OTU5,Y16-P1,Y2016
