seq_ID,seq_start,seq_end,gene1
MT3_1,2255,3388,g1
MT3_2,109,1503,g2
MT3_3,1273,4475,g3
MT3_3,5910,7192,g4
MT3_3,7749,8239,g5
MT3_4,1,5962,g6
MT3_5,1,1739,g7
MT3_5,2146,3899,g8
MT3_6,1,361,g9
MT3_7,181,4115,g10
MT3_8,1,200,g11
MT3_9,655,3011,g12
MT3_10,1353,2891,g13
MT3_10,3043,4317,g14
MT3_11,694,1719,g15
MT3_11,2902,4988,g16
MT3_11,6372,6771,g17
MT3_12,1,4345,g18
MT3_12,4815,6620,g19
MT3_12,7724,8470,g20
MT3_13,2241,4273,g21
MT3_14,1,3123,g22
MT3_14,3865,4691,g23
MT3_15,2054,3241,g24
MT3_16,1,2497,g25
MT3_16,3502,4119,g26
MT3_17,1422,3808,g27
MT3_18,1,577,g28
MT3_18,813,1727,g29
MT3_18,1893,3020,g30
MT3_18,3462,4543,g31
MT3_18,4927,5849,g32
MT3_18,5913,7277,g33
MT3_18,7906,8601,g34
MT3_18,8641,9700,g35
MT3_18,10248,11102,g36
MT3_18,11858,13122,g37
MT3_19,78,720,g38
MT3_19,1214,1801,g39
MT3_19,2827,3881,g40
MT3_20,724,1178,g41
MT3_20,2069,3614,g42
MT3_21,2078,2898,g43
MT3_22,1342,2384,g44
MT3_22,6932,7653,g45
MT3_22,8167,9276,g46
MT3_22,9679,10527,g47
MT3_23,2212,6041,g48
MT3_25,787,1850,g49
MT3_25,2245,3737,g50
MT3_26,1890,2402,g51
MT3_26,3261,4519,g52
MT3_27,841,1998,g53
MT3_27,3640,5044,g54
MT3_28,1,841,g55
MT3_28,4156,6009,g56
MT3_29,1,795,g57
MT3_29,1242,3218,g58
MT3_29,3673,5081,g59
MT3_29,5299,5976,g60
MT3_30,553,2213,g61
MT3_30,2682,3285,g62
MT3_31,328,1899,g63
MT3_31,2872,3577,g64
MT3_31,4347,6333,g65
MT3_32,1,486,g66
MT3_32,690,2315,g67
MT3_33,1,905,g68
MT3_33,1124,1876,g69
MT3_33,2323,3680,g70
MT3_34,1,2466,g71
MT3_35,454,1404,g72
MT3_36,454,1899,g73
MT3_36,2191,4352,g74
MT3_37,1,414,g75
MT3_37,2198,4280,g76
MT3_37,4342,4663,g77
MT3_38,338,2146,g78
MT3_38,2877,4440,g79
MT3_39,3069,3602,g80
MT3_40,1,342,g81
MT3_41,586,2420,g82
MT3_41,4820,6422,g83
MT3_41,8578,9721,g84
MT3_41,11356,14452,g85
MT3_41,15426,17689,g86
MT3_42,1,1108,g87
MT3_42,2210,3120,g88
MT3_42,3288,4168,g89
MT3_43,1,1588,g90
MT3_43,2766,5495,g91
MT3_43,5955,6563,g92
MT3_44,1,326,g93
MT3_44,1583,3809,g94
MT3_45,1,715,g95
MT3_45,1305,2820,g96
MT3_46,431,2399,g97
MT3_46,2834,3326,g98
MT3_47,1082,3772,g99
MT3_48,2079,3543,g100
MT3_49,330,1579,g101
MT3_49,1957,3095,g102
MT3_50,898,3408,g103
MT3_50,3895,5145,g104
MT3_51,1,461,g105
MT3_51,1655,2326,g106
MT3_51,4626,6822,g107
MT3_52,296,1502,g108
MT3_52,3592,5597,g109
MT3_52,5958,7018,g110
MT3_52,9493,10652,g111
MT3_53,1,573,g112
MT3_53,3271,4935,g113
MT3_53,7223,8649,g114
MT3_53,9270,10267,g115
MT3_53,11426,12499,g116
MT3_55,357,1580,g117
MT3_55,8369,8923,g118
MT3_55,9408,11087,g119
MT3_56,1,3506,g120
MT3_57,3104,3577,g121
MT3_57,4392,5803,g122
MT3_57,7290,8327,g123
MT3_58,1,1756,g124
MT3_58,2113,3190,g125
MT3_58,4534,8765,g126
MT3_59,1,1105,g127
MT3_59,2611,3708,g128
MT3_59,3788,5186,g129
MT3_60,1,1746,g130
MT3_60,3788,5235,g131
MT3_61,1,1556,g132
MT3_61,3024,3937,g133
MT3_61,5497,5981,g134
MT3_62,15,356,g135
MT3_62,1125,1452,g136
MT3_62,3179,4002,g137
MT3_62,4470,5328,g138
MT3_63,1,860,g139
MT3_63,5641,7045,g140
MT3_64,20,1508,g141
MT3_64,1969,2921,g142
MT3_65,606,2292,g143
MT3_65,2675,3791,g144
MT3_65,4511,5559,g145
MT3_65,6448,7637,g146
MT3_66,1001,2728,g147
MT3_67,2106,4081,g148
MT3_68,1,942,g149
MT3_70,783,2886,g150
MT3_71,2171,3906,g151
MT3_72,156,1236,g152
MT3_73,1305,3231,g153
MT3_74,1,187,g154
MT3_74,964,1668,g155
MT3_75,322,1019,g156
MT3_75,2460,4433,g157
MT3_75,4959,5279,g158
MT3_76,3365,4372,g159
MT3_77,1,447,g160
MT3_77,1007,2207,g161
MT3_77,3424,4944,g162
MT3_78,1,3111,g163
MT3_79,2262,5353,g164
MT3_79,6808,8196,g165
MT3_79,8787,10116,g166
MT3_80,1,489,g167
MT3_80,1196,2025,g168
MT3_80,3125,3982,g169
MT3_81,270,2005,g170
MT3_81,2918,4028,g171
MT3_81,4463,5330,g172
MT3_81,8526,10406,g173
MT3_84,1,669,g174
MT3_84,1688,2517,g175
MT3_84,3151,3423,g176
MT3_84,4965,6698,g177
MT3_84,7071,8576,g178
MT3_84,9001,9691,g179
MT3_85,1,794,g180
MT3_85,1700,2924,g181
MT3_85,4767,5265,g182
MT3_86,3109,3876,g183
MT3_86,4273,4589,g184
MT3_87,1,6772,g185
MT3_88,1,289,g186
MT3_88,1986,6203,g187
MT3_88,7515,7995,g188
MT3_88,8707,8979,g189
MT3_89,1,922,g190
MT3_89,1763,2632,g191
MT3_91,1,976,g192
MT3_92,4798,7136,g193
MT3_93,1,178,g194
MT3_94,937,1912,g195
MT3_94,2425,3214,g196
MT3_95,1423,2736,g197
MT3_96,2301,3419,g198
MT3_98,1,321,g199
MT3_99,1,574,g200
MT3_99,1551,3899,g201
MT3_99,5187,5465,g202
MT3_100,1326,3028,g203
MT3_101,1446,3273,g204
MT3_101,4793,5675,g205
MT3_102,1,263,g206
MT3_102,390,1785,g207
MT3_102,1940,3947,g208
MT3_103,1,1062,g209
MT3_103,1779,4683,g210
MT3_103,5140,6597,g211
MT3_104,710,2827,g212
MT3_104,4005,4471,g213
MT3_104,4511,5962,g214
MT3_104,6253,7083,g215
MT3_106,595,2883,g216
MT3_106,4626,5434,g217
MT3_107,487,1332,g218
MT3_107,2817,4355,g219
MT3_107,6052,9009,g220
MT3_107,10960,12470,g221
MT3_108,1764,2684,g222
MT3_108,3917,5565,g223
MT3_109,1,1580,g224
MT3_109,2073,4023,g225
MT3_109,4228,5487,g226
MT3_109,5918,7826,g227
MT3_110,4129,5226,g228
MT3_111,463,2944,g229
MT3_113,1,584,g230
MT3_113,791,3005,g231
MT3_114,1751,2629,g232
MT3_115,564,2230,g233
MT3_116,369,1931,g234
MT3_117,746,3761,g235
MT3_118,1754,2893,g236
MT3_119,93,482,g237
MT3_119,1817,3810,g238
MT3_119,4291,5675,g239
MT3_120,2227,2837,g240
MT3_120,3452,4636,g241
MT3_120,5918,7803,g242
MT3_120,8142,8517,g243
MT3_121,1,604,g244
MT3_121,1270,1684,g245
MT3_121,2409,3130,g246
MT3_123,1832,2828,g247
MT3_123,3078,5446,g248
MT3_124,1647,2807,g249
MT3_124,3299,5551,g250
MT3_124,5737,6495,g251
MT3_125,1,1140,g252
MT3_125,1606,2871,g253
MT3_126,1,1520,g254
MT3_127,554,3054,g255
MT3_127,3916,5712,g256
MT3_128,918,1861,g257
MT3_129,1,1551,g258
MT3_129,1822,5049,g259
MT3_129,5465,6256,g260
MT3_130,1787,2344,g261
MT3_131,788,5629,g262
MT3_131,7668,10907,g263
MT3_131,11825,15067,g264
MT3_132,1,524,g265
MT3_132,740,1760,g266
MT3_132,2339,5072,g267
MT3_132,6028,6646,g268
MT3_132,7885,8163,g269
MT3_133,1362,3510,g270
MT3_133,4008,5145,g271
MT3_133,5756,6164,g272
MT3_134,159,1223,g273
MT3_134,1861,2352,g274
MT3_135,2319,5097,g275
MT3_136,1,661,g276
MT3_136,774,1340,g277
MT3_137,406,4191,g278
MT3_137,4759,5975,g279
MT3_138,197,2040,g280
MT3_139,309,2041,g281
MT3_140,1121,2140,g282
MT3_140,2399,3639,g283
MT3_141,2601,3891,g284
MT3_142,852,1685,g285
MT3_142,3378,4374,g286
MT3_142,4996,6635,g287
MT3_142,7502,9690,g288
MT3_143,1,1068,g289
MT3_143,2200,3876,g290
MT3_143,4640,5757,g291
MT3_144,1381,3448,g292
MT3_145,362,1814,g293
MT3_145,2447,3051,g294
MT3_146,582,5460,g295
MT3_147,1,2866,g296
MT3_148,1085,2065,g297
MT3_148,2846,4437,g298
MT3_149,197,1838,g299
MT3_150,462,1458,g300
MT3_151,346,5154,g301
MT3_152,1168,3145,g302
MT3_152,3911,4684,g303
MT3_153,2318,3289,g304
MT3_153,4121,5266,g305
MT3_154,1306,1972,g306
MT3_154,2502,3495,g307
MT3_154,6916,7443,g308
MT3_155,1,1756,g309
MT3_155,2424,4809,g310
MT3_156,372,1952,g311
MT3_156,2889,4613,g312
MT3_156,5282,7193,g313
MT3_157,2145,3218,g314
MT3_158,441,1000,g315
MT3_159,410,1228,g316
MT3_159,2152,3363,g317
MT3_160,1669,2191,g318
MT3_160,3680,4855,g319
MT3_160,4885,5611,g320
MT3_161,1,513,g321
MT3_162,902,1733,g322
MT3_162,2098,2417,g323
MT3_162,5732,6887,g324
MT3_164,2057,3413,g325
MT3_164,3667,4596,g326
MT3_165,1,9735,g327
MT3_165,9923,11863,g328
MT3_165,13244,13505,g329
MT3_166,123,3381,g330
MT3_167,773,3400,g331
MT3_167,3993,4304,g332
MT3_168,29,1075,g333
MT3_169,1,1009,g334
MT3_169,2788,3669,g335
MT3_170,325,1675,g336
MT3_170,3954,6295,g337
MT3_170,6820,8753,g338
MT3_170,8826,9461,g339
MT3_171,546,2283,g340
MT3_172,2514,5094,g341
MT3_174,1,225,g342
MT3_174,2412,3407,g343
MT3_174,3994,5946,g344
MT3_175,1,1259,g345
MT3_176,1,474,g346
MT3_176,1076,2930,g347
MT3_178,3282,4535,g348
MT3_178,4963,8242,g349
MT3_179,1,5282,g350
MT3_180,1872,2270,g351
MT3_181,1322,4167,g352
MT3_182,1,1880,g353
MT3_182,2698,4509,g354
MT3_183,466,2312,g355
MT3_183,2750,3981,g356
MT3_184,305,2677,g357
MT3_184,2816,3966,g358
MT3_184,4611,6823,g359
MT3_185,1,897,g360
MT3_185,1173,2207,g361
MT3_185,3235,3987,g362
MT3_185,4288,5391,g363
MT3_186,616,1971,g364
MT3_186,2496,3024,g365
MT3_187,1,1289,g366
MT3_187,2298,3632,g367
MT3_188,11,751,g368
MT3_188,1321,2114,g369
MT3_188,2614,3269,g370
MT3_188,4172,7533,g371
MT3_188,8341,10149,g372
MT3_188,11499,12467,g373
MT3_189,950,1921,g374
MT3_189,3814,5586,g375
MT3_189,6162,6660,g376
MT3_190,157,1652,g377
MT3_190,3678,4970,g378
MT3_191,1,1272,g379
MT3_191,1576,2204,g380
MT3_191,2439,3104,g381
MT3_192,403,2179,g382
MT3_193,370,1620,g383
MT3_193,2194,3070,g384
MT3_194,1,3550,g385
MT3_195,1,1164,g386
MT3_195,1947,3074,g387
MT3_195,3106,4152,g388
MT3_196,1,1272,g389
MT3_196,1606,3524,g390
MT3_196,4257,4896,g391
MT3_197,127,1764,g392
MT3_197,2379,2909,g393
MT3_197,3185,4015,g394
MT3_198,1,192,g395
MT3_199,2618,5098,g396
MT3_199,5603,6340,g397
MT3_200,10,519,g398
MT3_200,606,3023,g399
MT3_201,360,758,g400
MT3_202,63,663,g401
MT3_202,3528,4492,g402
MT3_203,1,218,g403
MT3_203,872,1862,g404
MT3_203,3267,7826,g405
MT3_204,1,2449,g406
MT3_204,2845,3834,g407
MT3_205,1633,3735,g408
MT3_205,4684,6573,g409
MT3_206,1,670,g410
MT3_206,2417,4414,g411
MT3_207,1646,2888,g412
MT3_208,1500,2165,g413
MT3_209,1,735,g414
MT3_211,1,1203,g415
MT3_211,3141,5216,g416
MT3_211,6064,6846,g417
MT3_211,7054,7882,g418
MT3_212,1,1981,g419
MT3_212,2342,3350,g420
MT3_213,1206,5036,g421
MT3_214,177,1100,g422
MT3_214,1689,3498,g423
MT3_214,4046,4611,g424
MT3_215,3428,4457,g425
MT3_215,6199,7610,g426
MT3_215,8015,8900,g427
MT3_216,1,223,g428
MT3_216,2552,4291,g429
MT3_217,733,2246,g430
MT3_217,3294,3722,g431
MT3_218,1360,2016,g432
MT3_218,2300,2754,g433
MT3_218,4676,5692,g434
MT3_219,960,2473,g435
MT3_220,1,2417,g436
MT3_220,3919,4487,g437
MT3_221,360,973,g438
MT3_221,1343,2389,g439
MT3_221,3987,4945,g440
MT3_222,1,2524,g441
MT3_223,3110,3322,g442
MT3_224,1,5995,g443
MT3_225,727,2331,g444
MT3_225,2939,3349,g445
MT3_226,1,857,g446
MT3_227,631,4058,g447
MT3_228,1,981,g448
MT3_228,1636,2463,g449
MT3_228,3798,4856,g450
MT3_229,2679,2954,g451
MT3_229,3677,4553,g452
MT3_230,1,687,g453
MT3_230,1334,2918,g454
MT3_231,714,2882,g455
MT3_232,1019,1987,g456
MT3_233,171,4864,g457
MT3_235,1535,3098,g458
MT3_236,1,3497,g459
MT3_237,1,3269,g460
MT3_237,3575,4366,g461
MT3_237,4898,6921,g462
MT3_237,7157,8582,g463
MT3_238,118,1108,g464
MT3_238,1718,3663,g465
MT3_239,1,4326,g466
MT3_239,4494,5522,g467
MT3_240,4541,4843,g468
MT3_241,996,2723,g469
MT3_242,1,1461,g470
MT3_242,1872,3053,g471
MT3_244,1,3898,g472
