seq_ID,seq_start,seq_end,gene1
NODE_10_length_1088295_cov_13.676338,859880,861053,"AA13,CBM20"
NODE_27_length_462479_cov_13.631447,313812,314643,"AA13,CBM20"
NODE_18_length_855782_cov_13.614661,367657,368447,AA9
NODE_2_length_2759055_cov_13.803809,1614216,1615160,"AA9,CBM1"
NODE_3_length_2227752_cov_13.882755,1089283,1090102,"AA9,CBM1"
NODE_3_length_2227752_cov_13.882755,1973400,1974110,"AA9,CBM1"
NODE_5_length_2015350_cov_13.947471,1472867,1473770,"AA9,CBM1"
NODE_6_length_1455543_cov_13.893929,1082182,1082986,"AA9,CBM1"
NODE_8_length_1221331_cov_18.084136,256253,257273,"AA9,CBM1"
NODE_13_length_979002_cov_13.484979,804018,804808,"AA9,CBM1"
NODE_19_length_851729_cov_13.622464,574336,575256,"AA9,CBM1"
NODE_6_length_1455543_cov_13.893929,803678,806204,"CBM1,GH74"
NODE_22_length_666194_cov_13.668542,421537,423737,"CBM48,GH13"
NODE_22_length_666194_cov_13.668542,425042,427565,"CBM48,GH13"
NODE_590_length_3666_cov_0.779316,1,3242,"CBM48,GH13,GH31"
NODE_1037_length_2331_cov_1.058530,1495,2154,CBM50
NODE_34_length_295069_cov_13.569932,94720,95699,CE1
NODE_18_length_855782_cov_13.614661,503576,504994,GH1
NODE_29_length_434673_cov_14.176414,26231,27730,GH1
NODE_4_length_2191902_cov_13.637278,1864901,1867479,"GH1,GH3"
NODE_11_length_1027557_cov_13.535024,914157,916771,"GH1,GH3"
NODE_1_length_3247285_cov_13.928014,2182957,2184198,GH105
NODE_2_length_2759055_cov_13.803809,284846,288566,GH105
NODE_4_length_2191902_cov_13.637278,2144776,2146007,GH105
NODE_12_length_983797_cov_13.788388,761623,762744,GH105
NODE_20_length_847868_cov_13.584679,124595,125713,GH105
NODE_431_length_4529_cov_1.053612,2251,4529,GH105
NODE_833_length_2803_cov_0.997010,54,2803,GH105
NODE_1122_length_2151_cov_0.771245,1334,2104,GH105
NODE_1385_length_1770_cov_0.790627,1,1685,GH105
NODE_1392_length_1753_cov_0.756458,1351,1656,GH105
NODE_4_length_2191902_cov_13.637278,7813,8688,GH12
NODE_4_length_2191902_cov_13.637278,2156496,2157578,GH12
NODE_8_length_1221331_cov_18.084136,739567,740390,GH12
NODE_8_length_1221331_cov_18.084136,743104,743952,GH12
NODE_12_length_983797_cov_13.788388,294127,294999,GH12
NODE_15_length_891520_cov_13.837380,397995,398866,GH12
NODE_349_length_5247_cov_0.787500,4257,5247,GH127
NODE_3_length_2227752_cov_13.882755,1495863,1500730,GH13
NODE_6_length_1455543_cov_13.893929,301324,302837,GH13
NODE_12_length_983797_cov_13.788388,374220,375725,GH13
