seq_ID,seq_start,seq_end,gene1
MT3_331,51,758,PL4
MT3_1232,7884,8593,GT90
MT3_1989,1,2154,GT8
MT3_1989,2325,3548,GT8
MT3_3037,3625,6161,GT66
MT3_2188,1142,2337,GT62
MT3_104,4511,5962,GT58
MT3_1852,1,1225,GT57
MT3_2793,2033,5301,GT57
MT3_1802,3508,9478,GT48
MT3_3756,2920,4031,"GT47,GT64"
MT3_1525,2159,3986,GT4
MT3_1990,1269,3908,GT4
MT3_199,2618,5098,GT39
MT3_464,6674,7034,GT39
MT3_1610,524,3178,GT39
MT3_3090,1,618,GT39
MT3_3237,2262,4087,GT39
MT3_1921,1204,5404,GT35
MT3_459,2311,3251,GT34
MT3_1829,1514,2610,GT34
MT3_2128,2083,2994,GT33
MT3_584,600,1495,GT32
MT3_1671,1,1296,GT3
MT3_3035,364,1511,GT3
MT3_2466,449,6646,GT24
MT3_1694,622,2620,GT22
MT3_819,1296,2953,GT21
MT3_454,2294,5131,GT20
MT3_471,3050,4306,GT20
MT3_1630,2148,3075,GT20
MT3_333,404,3111,GT2
MT3_340,1045,4601,GT2
MT3_1277,182,5291,GT2
MT3_1360,2610,5223,GT2
MT3_1386,28,1620,GT2
MT3_1493,7091,7558,GT2
MT3_2112,1541,7242,GT2
MT3_2660,1868,5265,GT2
MT3_3307,474,4854,GT2
MT3_848,1055,2727,GT15
MT3_1889,3298,4302,GT15
MT3_2293,3105,4708,GT15
MT3_1066,1,3627,GT1
MT3_3675,1816,2984,GT1
MT3_2850,1,337,GH95
MT3_713,1,927,GH76
MT3_1988,98,2140,GH76
MT3_2212,1,814,GH76
MT3_2300,1924,3499,GH76
MT3_2964,2370,3919,GH76
MT3_1563,5630,7355,GH7
MT3_3073,7415,8864,GH7
MT3_3679,1,232,GH7
MT3_977,1076,2326,GH6
MT3_1089,5027,6694,GH6
MT3_2426,8436,8666,GH6
MT3_1094,7975,8304,GH57
MT3_2345,469,2338,GH51
MT3_18,3462,4543,"GH5,GH9"
MT3_1335,537,2054,"GH5,GH9"
MT3_2438,3876,5761,"GH5,GH9"
MT3_1019,3135,4511,GH5
MT3_1160,656,2380,GH47
MT3_1166,978,2810,GH47
MT3_1444,1852,5059,GH47
MT3_1719,10538,12279,GH47
MT3_3052,3333,4667,GH47
MT3_3634,2222,4359,GH47
MT3_892,1172,2782,GH43
MT3_3625,197,1153,GH43
MT3_101,4793,5675,GH38
MT3_681,4255,7036,GH38
MT3_1012,2108,4210,GH38
MT3_2314,3794,5083,GH38
MT3_2939,4810,7221,GH37
MT3_1626,5188,6110,GH32
MT3_2653,1385,3396,GH32
MT3_2012,1605,4475,GH31
MT3_2684,6023,6423,GH31
MT3_2746,2327,3721,GH31
MT3_2842,4354,5533,GH31
MT3_3217,2240,4166,GH31
MT3_3303,3032,5484,GH31
MT3_3550,4603,5889,GH31
MT3_3064,3009,4543,GH30
MT3_182,1,1880,GH3
MT3_254,1,561,GH3
MT3_283,3421,4898,GH3
MT3_298,1,2171,GH3
MT3_664,946,3770,GH3
MT3_857,1,1784,GH3
MT3_1027,774,3195,GH3
MT3_1288,1,939,GH3
MT3_1553,2537,3904,GH3
MT3_1700,1,740,GH3
MT3_1709,6512,7751,GH3
MT3_1983,1,1182,GH3
MT3_2125,8407,11440,GH3
MT3_2435,3125,5953,GH3
MT3_2732,1,1052,GH3
MT3_3578,1,1650,GH3
MT3_3725,1,1809,GH3
MT3_3759,786,2820,GH3
MT3_104,710,2827,GH29
MT3_182,2698,4509,GH29
MT3_2857,2633,2953,GH26
MT3_1705,1511,3460,GH20
MT3_26,3261,4519,GH18
MT3_1153,2454,3799,GH18
MT3_1438,2723,4855,GH18
MT3_1677,3419,5530,GH18
MT3_2058,7232,7942,GH18
MT3_2097,966,5319,GH18
MT3_2280,1,811,GH18
MT3_2893,1,2984,GH18
MT3_3083,3203,4807,GH18
MT3_3351,1610,2920,GH18
MT3_2090,816,2339,GH17
MT3_3212,5700,6983,GH17
MT3_1030,384,2472,"GH13,GH31"
MT3_1144,1,2878,GH13
MT3_1255,1,742,GH13
MT3_3193,1,430,GH13
MT3_254,1553,2376,GH12
MT3_254,5093,5950,GH12
MT3_1486,6989,7860,GH12
MT3_1658,2834,4048,GH105
MT3_2651,787,2018,GH105
MT3_2512,13113,15691,"GH1,GH3"
MT3_2593,1587,4201,"GH1,GH3"
MT3_563,1,697,GH1
MT3_3191,123,668,GH1
MT3_3024,1214,2209,CE1
MT3_2721,5177,5548,"CBM48,GH13,GH77"
MT3_102,390,1785,"CBM48,GH13"
MT3_690,1,1119,"CBM48,GH13"
MT3_690,2422,4946,"CBM48,GH13"
MT3_1413,3953,4265,"CBM48,GH13"
MT3_3213,2468,3023,"CBM1,GH74"
MT3_1164,1626,2430,"AA9,CBM1"
MT3_1417,1021,1840,"AA9,CBM1"
MT3_1419,939,1883,"AA9,CBM1"
MT3_1820,1910,2813,"AA9,CBM1"
MT3_2165,2711,3500,"AA9,CBM1"
MT3_2588,1459,2169,"AA9,CBM1"
MT3_2764,2083,3011,"AA9,CBM1"
MT3_2379,1927,2717,AA9
MT3_3320,3068,4240,"AA13,CBM20"
