seq_ID,seq_start,seq_end,gene1
NODE_1_length_1567069_cov_13.379521,446,1754,g1
NODE_1_length_1567069_cov_13.379521,2146,3224,g2
NODE_1_length_1567069_cov_13.379521,4534,6870,g3
NODE_1_length_1567069_cov_13.379521,7325,7850,g4
NODE_1_length_1567069_cov_13.379521,8504,10709,g5
NODE_1_length_1567069_cov_13.379521,11058,12002,g6
NODE_1_length_1567069_cov_13.379521,13650,15367,g7
NODE_1_length_1567069_cov_13.379521,16329,17258,g8
NODE_1_length_1567069_cov_13.379521,21576,22939,g9
NODE_1_length_1567069_cov_13.379521,23414,23980,g10
NODE_1_length_1567069_cov_13.379521,24294,25481,g11
NODE_1_length_1567069_cov_13.379521,25837,26553,g12
NODE_1_length_1567069_cov_13.379521,28340,30535,g13
NODE_1_length_1567069_cov_13.379521,35521,39714,g14
NODE_1_length_1567069_cov_13.379521,40397,41199,g15
NODE_1_length_1567069_cov_13.379521,41533,44325,g16
NODE_1_length_1567069_cov_13.379521,44708,45982,g17
NODE_1_length_1567069_cov_13.379521,46776,49436,g18
NODE_1_length_1567069_cov_13.379521,53973,55888,g19
NODE_1_length_1567069_cov_13.379521,57465,58379,g20
NODE_1_length_1567069_cov_13.379521,60150,61807,g21
NODE_1_length_1567069_cov_13.379521,65871,66353,g22
NODE_1_length_1567069_cov_13.379521,67143,68663,g23
NODE_1_length_1567069_cov_13.379521,71500,72999,g24
NODE_1_length_1567069_cov_13.379521,73619,75349,g25
NODE_1_length_1567069_cov_13.379521,75707,76609,g26
NODE_1_length_1567069_cov_13.379521,79449,80399,g27
NODE_1_length_1567069_cov_13.379521,80605,82437,g28
NODE_1_length_1567069_cov_13.379521,84630,87727,g29
NODE_1_length_1567069_cov_13.379521,89432,90876,g30
NODE_1_length_1567069_cov_13.379521,91332,92305,g31
NODE_1_length_1567069_cov_13.379521,92538,92913,g32
NODE_1_length_1567069_cov_13.379521,94360,94800,g33
NODE_1_length_1567069_cov_13.379521,96847,102150,g34
NODE_1_length_1567069_cov_13.379521,103340,104444,g35
NODE_1_length_1567069_cov_13.379521,104737,111400,g36
NODE_1_length_1567069_cov_13.379521,112678,120585,g37
NODE_1_length_1567069_cov_13.379521,123185,124835,g38
NODE_1_length_1567069_cov_13.379521,125525,127215,g39
NODE_1_length_1567069_cov_13.379521,127811,129140,g40
NODE_1_length_1567069_cov_13.379521,132039,133118,g41
NODE_1_length_1567069_cov_13.379521,135226,136406,g42
NODE_1_length_1567069_cov_13.379521,139621,140554,g43
NODE_1_length_1567069_cov_13.379521,142180,144919,g44
NODE_1_length_1567069_cov_13.379521,158854,160495,g45
NODE_1_length_1567069_cov_13.379521,164792,166316,g46
NODE_1_length_1567069_cov_13.379521,166671,167891,g47
NODE_1_length_1567069_cov_13.379521,169606,170592,g48
NODE_1_length_1567069_cov_13.379521,171030,174777,g49
NODE_1_length_1567069_cov_13.379521,179121,180012,g50
NODE_1_length_1567069_cov_13.379521,182979,184373,g51
NODE_1_length_1567069_cov_13.379521,185050,186008,g52
NODE_1_length_1567069_cov_13.379521,189993,190223,g53
NODE_1_length_1567069_cov_13.379521,191388,192345,g54
