seq_ID,seq_start,seq_end
NODE_1_length_981787_cov_3.750757,1,981787
NODE_2_length_929719_cov_3.809342,1,929719
NODE_3_length_674063_cov_92.301923,1,674063
NODE_4_length_576106_cov_3.319243,1,576106
NODE_5_length_567917_cov_96.514544,1,567917
NODE_6_length_518179_cov_111.203810,1,518179
NODE_7_length_441623_cov_4.435490,1,441623
NODE_8_length_427700_cov_121.907057,1,427700
NODE_9_length_405834_cov_4.404358,1,405834
NODE_10_length_328794_cov_3.200510,1,328794
NODE_11_length_300405_cov_87.103840,1,300405
NODE_12_length_248439_cov_88.190140,1,248439
NODE_13_length_217312_cov_4.878997,1,217312
NODE_14_length_202353_cov_84.843714,1,202353
NODE_15_length_191685_cov_105.335528,1,191685
NODE_16_length_184759_cov_4.735241,1,184759
NODE_17_length_183484_cov_103.714731,1,183484
NODE_18_length_180534_cov_103.602466,1,180534
NODE_19_length_180126_cov_83.187912,1,180126
NODE_20_length_171937_cov_119.043577,1,171937
NODE_21_length_139094_cov_118.161564,1,139094
NODE_22_length_85821_cov_3.412351,1,85821
NODE_23_length_85106_cov_127.260829,1,85106
NODE_24_length_76435_cov_4.196847,1,76435
NODE_25_length_71247_cov_97.758465,1,71247
NODE_26_length_66995_cov_107.465125,1,66995
NODE_27_length_55102_cov_86.355562,1,55102
NODE_28_length_51010_cov_3.168092,1,51010
NODE_29_length_42131_cov_105.529830,1,42131
NODE_30_length_39939_cov_129.076861,1,39939
NODE_31_length_38807_cov_2.927844,1,38807
NODE_32_length_29839_cov_117.440529,1,29839
NODE_33_length_29283_cov_0.803848,1,29283
NODE_34_length_26339_cov_0.858729,1,26339
NODE_35_length_25351_cov_59.638757,1,25351
NODE_36_length_24696_cov_0.859661,1,24696
NODE_37_length_24370_cov_3.148744,1,24370
NODE_38_length_24112_cov_100.349343,1,24112
NODE_39_length_24050_cov_0.872131,1,24050
NODE_40_length_23338_cov_0.897678,1,23338
NODE_41_length_23327_cov_0.854009,1,23327
NODE_42_length_22890_cov_0.802794,1,22890
NODE_43_length_21726_cov_0.866938,1,21726
NODE_44_length_21534_cov_0.836549,1,21534
NODE_45_length_21184_cov_0.787909,1,21184
NODE_46_length_21175_cov_0.874145,1,21175
NODE_47_length_21099_cov_0.883607,1,21099
NODE_48_length_21054_cov_0.776127,1,21054
NODE_49_length_20690_cov_0.881729,1,20690
NODE_50_length_20652_cov_0.810378,1,20652
NODE_51_length_20440_cov_0.765126,1,20440
NODE_52_length_20379_cov_1.020640,1,20379
NODE_53_length_20241_cov_0.863004,1,20241
NODE_54_length_19972_cov_0.833107,1,19972
NODE_55_length_19579_cov_0.926434,1,19579
NODE_56_length_19503_cov_0.857143,1,19503
NODE_57_length_19475_cov_0.785869,1,19475
NODE_58_length_19355_cov_0.859528,1,19355
NODE_59_length_19335_cov_0.731102,1,19335
NODE_60_length_19195_cov_0.890340,1,19195
NODE_61_length_18997_cov_0.857499,1,18997
NODE_62_length_18985_cov_0.786669,1,18985
NODE_63_length_18945_cov_0.813104,1,18945
NODE_64_length_18931_cov_0.828653,1,18931
NODE_65_length_18874_cov_0.841041,1,18874
NODE_66_length_18630_cov_0.868454,1,18630
NODE_67_length_18343_cov_0.849638,1,18343
NODE_68_length_18106_cov_0.746871,1,18106
NODE_69_length_18033_cov_0.861387,1,18033
NODE_70_length_18026_cov_0.836974,1,18026
NODE_71_length_17976_cov_0.832708,1,17976
NODE_72_length_17973_cov_0.895103,1,17973
NODE_73_length_17847_cov_0.918172,1,17847
NODE_74_length_17686_cov_0.799134,1,17686
NODE_75_length_17633_cov_0.819101,1,17633
NODE_76_length_17456_cov_0.914767,1,17456
NODE_77_length_17347_cov_0.932578,1,17347
NODE_78_length_17311_cov_0.887628,1,17311
NODE_79_length_17023_cov_0.803208,1,17023
NODE_80_length_17020_cov_0.857515,1,17020
NODE_81_length_16959_cov_0.758912,1,16959
NODE_82_length_16834_cov_0.832406,1,16834
NODE_83_length_16817_cov_106.780228,1,16817
NODE_84_length_16798_cov_0.855198,1,16798
NODE_85_length_16572_cov_0.805534,1,16572
NODE_86_length_16565_cov_0.797725,1,16565
NODE_87_length_16327_cov_0.903333,1,16327
NODE_88_length_16302_cov_0.845317,1,16302
NODE_89_length_16285_cov_0.781966,1,16285
NODE_90_length_16251_cov_0.777289,1,16251
NODE_91_length_16133_cov_123.344496,1,16133
NODE_92_length_16044_cov_0.947289,1,16044
NODE_93_length_16035_cov_0.831028,1,16035
NODE_94_length_16000_cov_0.919864,1,16000
NODE_95_length_15951_cov_0.902616,1,15951
NODE_96_length_15876_cov_0.761318,1,15876
NODE_97_length_15860_cov_0.807665,1,15860
NODE_98_length_15834_cov_0.850131,1,15834
NODE_99_length_15779_cov_0.862062,1,15779
NODE_100_length_15725_cov_0.766509,1,15725
NODE_101_length_15701_cov_0.756004,1,15701
NODE_102_length_15662_cov_0.728870,1,15662
NODE_103_length_15635_cov_0.827379,1,15635
NODE_104_length_15531_cov_0.862958,1,15531
NODE_105_length_15512_cov_0.763146,1,15512
NODE_106_length_15490_cov_0.844041,1,15490
NODE_107_length_15483_cov_0.885061,1,15483
NODE_108_length_15432_cov_0.857955,1,15432
NODE_109_length_15383_cov_0.857630,1,15383
NODE_110_length_15332_cov_0.856166,1,15332
NODE_111_length_15285_cov_0.864494,1,15285
NODE_112_length_15282_cov_0.779017,1,15282
NODE_113_length_15187_cov_0.852058,1,15187
NODE_114_length_15144_cov_0.857695,1,15144
NODE_115_length_15121_cov_0.943044,1,15121
NODE_116_length_15095_cov_0.833912,1,15095
NODE_117_length_14983_cov_0.894117,1,14983
NODE_118_length_14958_cov_0.817072,1,14958
NODE_119_length_14951_cov_0.833648,1,14951
NODE_120_length_14831_cov_0.875408,1,14831
NODE_121_length_14788_cov_0.892299,1,14788
NODE_122_length_14745_cov_0.807019,1,14745
NODE_123_length_14733_cov_0.762769,1,14733
NODE_124_length_14725_cov_0.909371,1,14725
NODE_125_length_14716_cov_0.916855,1,14716
NODE_126_length_14711_cov_0.804580,1,14711
NODE_127_length_14705_cov_0.822198,1,14705
NODE_128_length_14694_cov_0.775657,1,14694
NODE_129_length_14591_cov_0.876798,1,14591
NODE_130_length_14589_cov_0.801895,1,14589
NODE_131_length_14569_cov_0.830217,1,14569
NODE_132_length_14464_cov_0.837693,1,14464
NODE_133_length_14455_cov_0.897543,1,14455
NODE_135_length_14432_cov_0.863824,1,14432
NODE_134_length_14432_cov_0.889130,1,14432
NODE_136_length_14353_cov_0.740967,1,14353
NODE_137_length_14307_cov_0.940197,1,14307
NODE_138_length_14303_cov_0.829007,1,14303
NODE_139_length_14257_cov_0.972187,1,14257
NODE_140_length_14226_cov_0.834102,1,14226
NODE_141_length_14219_cov_0.913639,1,14219
NODE_142_length_14150_cov_0.827355,1,14150
NODE_143_length_14132_cov_0.804141,1,14132
NODE_144_length_14006_cov_0.782981,1,14006
NODE_145_length_13982_cov_0.866330,1,13982
NODE_146_length_13940_cov_0.833563,1,13940
NODE_147_length_13928_cov_0.868560,1,13928
NODE_148_length_13926_cov_0.884267,1,13926
NODE_149_length_13909_cov_0.836453,1,13909
NODE_150_length_13820_cov_0.878478,1,13820
NODE_151_length_13815_cov_0.751023,1,13815
NODE_152_length_13809_cov_0.820202,1,13809
NODE_153_length_13802_cov_0.789324,1,13802
NODE_154_length_13753_cov_0.889770,1,13753
NODE_155_length_13710_cov_0.871162,1,13710
NODE_156_length_13651_cov_0.767598,1,13651
NODE_157_length_13618_cov_0.854496,1,13618
NODE_158_length_13580_cov_0.764216,1,13580
NODE_159_length_13569_cov_0.771686,1,13569
NODE_160_length_13564_cov_0.923420,1,13564
NODE_161_length_13562_cov_0.913286,1,13562
NODE_162_length_13550_cov_0.960143,1,13550
NODE_163_length_13547_cov_0.808271,1,13547
NODE_164_length_13543_cov_0.862627,1,13543
NODE_165_length_13508_cov_0.867274,1,13508
NODE_166_length_13482_cov_0.855410,1,13482
NODE_167_length_13480_cov_0.825807,1,13480
NODE_168_length_13469_cov_0.801454,1,13469
NODE_169_length_13441_cov_0.844074,1,13441
NODE_170_length_13438_cov_0.860416,1,13438
NODE_171_length_13421_cov_0.862043,1,13421
NODE_172_length_13419_cov_0.779491,1,13419
NODE_173_length_13400_cov_0.849469,1,13400
NODE_174_length_13394_cov_0.810432,1,13394
NODE_175_length_13391_cov_0.780458,1,13391
NODE_176_length_13389_cov_0.727115,1,13389
NODE_177_length_13387_cov_0.806787,1,13387
NODE_178_length_13367_cov_0.790710,1,13367
NODE_179_length_13315_cov_0.905369,1,13315
NODE_180_length_13313_cov_0.825724,1,13313
NODE_181_length_13295_cov_0.844623,1,13295
NODE_182_length_13291_cov_0.861288,1,13291
NODE_183_length_13286_cov_0.754009,1,13286
NODE_184_length_13275_cov_0.830697,1,13275
NODE_185_length_13272_cov_0.837961,1,13272
NODE_186_length_13270_cov_0.739253,1,13270
NODE_187_length_13250_cov_0.899108,1,13250
NODE_188_length_13248_cov_0.774712,1,13248
NODE_189_length_13223_cov_0.874618,1,13223
NODE_190_length_13208_cov_0.818592,1,13208
NODE_191_length_13200_cov_0.858410,1,13200
NODE_192_length_13190_cov_0.792544,1,13190
NODE_193_length_13161_cov_0.885530,1,13161
NODE_194_length_13156_cov_0.940134,1,13156
NODE_195_length_13136_cov_0.837651,1,13136
NODE_196_length_13133_cov_0.705674,1,13133
NODE_197_length_13112_cov_0.831190,1,13112
NODE_198_length_13102_cov_0.784817,1,13102
NODE_199_length_13082_cov_0.863142,1,13082
NODE_200_length_13079_cov_0.876467,1,13079
NODE_201_length_13056_cov_0.836028,1,13056
NODE_202_length_13053_cov_0.866857,1,13053
NODE_203_length_12979_cov_0.816604,1,12979
NODE_204_length_12876_cov_0.839674,1,12876
NODE_205_length_12864_cov_0.885216,1,12864
NODE_206_length_12831_cov_0.879014,1,12831
NODE_207_length_12825_cov_0.849031,1,12825
NODE_210_length_12823_cov_0.771503,1,12823
NODE_209_length_12823_cov_0.846408,1,12823
NODE_208_length_12823_cov_0.866257,1,12823
NODE_211_length_12819_cov_0.769855,1,12819
NODE_212_length_12812_cov_0.864249,1,12812
NODE_213_length_12799_cov_0.847538,1,12799
NODE_214_length_12790_cov_0.815683,1,12790
NODE_215_length_12778_cov_0.863331,1,12778
NODE_216_length_12756_cov_0.807823,1,12756
NODE_217_length_12718_cov_0.867048,1,12718
NODE_218_length_12715_cov_0.904512,1,12715
NODE_219_length_12692_cov_0.866454,1,12692
NODE_220_length_12690_cov_0.985672,1,12690
NODE_221_length_12605_cov_0.815034,1,12605
NODE_222_length_12574_cov_0.849361,1,12574
NODE_223_length_12521_cov_0.878248,1,12521
NODE_224_length_12501_cov_0.881607,1,12501
NODE_225_length_12499_cov_0.808115,1,12499
NODE_226_length_12483_cov_0.948608,1,12483
NODE_227_length_12481_cov_0.846285,1,12481
NODE_228_length_12461_cov_0.848305,1,12461
NODE_229_length_12449_cov_0.828356,1,12449
NODE_230_length_12430_cov_0.826384,1,12430
NODE_231_length_12411_cov_0.854608,1,12411
NODE_234_length_12398_cov_0.807432,1,12398
NODE_233_length_12398_cov_0.812648,1,12398
NODE_232_length_12398_cov_0.922093,1,12398
NODE_235_length_12361_cov_0.846902,1,12361
NODE_236_length_12354_cov_0.957062,1,12354
NODE_237_length_12338_cov_0.857997,1,12338
NODE_238_length_12319_cov_1.310778,1,12319
NODE_239_length_12309_cov_0.816451,1,12309
NODE_240_length_12267_cov_0.831137,1,12267
NODE_241_length_12264_cov_0.860344,1,12264
NODE_242_length_12259_cov_0.933482,1,12259
NODE_243_length_12249_cov_0.817192,1,12249
NODE_244_length_12219_cov_0.875786,1,12219
NODE_245_length_12207_cov_0.833692,1,12207
NODE_246_length_12204_cov_0.789600,1,12204
NODE_247_length_12191_cov_0.811422,1,12191
NODE_248_length_12131_cov_0.859464,1,12131
NODE_249_length_12117_cov_0.847873,1,12117
NODE_250_length_12116_cov_0.795563,1,12116
NODE_251_length_12096_cov_0.874676,1,12096
NODE_252_length_12086_cov_0.835187,1,12086
NODE_253_length_12057_cov_0.917100,1,12057
NODE_254_length_12050_cov_0.783360,1,12050
NODE_255_length_12047_cov_0.747232,1,12047
NODE_256_length_12029_cov_0.806419,1,12029
NODE_258_length_11988_cov_0.838378,1,11988
NODE_257_length_11988_cov_0.852458,1,11988
NODE_259_length_11950_cov_0.845302,1,11950
NODE_260_length_11937_cov_0.861473,1,11937
NODE_261_length_11931_cov_0.893595,1,11931
NODE_262_length_11926_cov_0.859480,1,11926
NODE_263_length_11919_cov_0.712771,1,11919
NODE_264_length_11885_cov_0.761524,1,11885
NODE_265_length_11883_cov_0.801463,1,11883
NODE_266_length_11862_cov_0.783042,1,11862
